"","ID","gender","order","experiment","difficulty","falseAlarm","trial","decide","trial.start.time","signal","humanResp","humanRT","autoResp","autoRT","ACC","stimlength","RTor","RTand","condition"
"36",5,"Female",4,"n/a","hard","n/a",36,"NO AID",474.132476091,1,1,0.505877017975,1,0.25,1,3.22650415373,0.25,0.505877017975,2
"37",5,"Female",4,"n/a","hard","n/a",37,"NO AID",475.64998889,0,1,0.428295135498,0,0.25,0,1.74386887329,0.25,0.428295135498,2
"38",5,"Female",4,"n/a","hard","n/a",38,"NO AID",477.085466862,1,1,0.424836874008,0,0.25,1,3.21821829087,0.25,0.424836874008,2
"39",5,"Female",4,"n/a","hard","n/a",39,"NO AID",478.520565987,1,1,0.389728069305,0,0.25,1,3.4672236072,0.25,0.389728069305,2
"40",5,"Female",4,"n/a","hard","n/a",40,"NO AID",479.920456886,1,1,0.597854137421,1,0.25,1,2.58025119969,0.25,0.597854137421,2
"41",5,"Female",4,"n/a","hard","n/a",41,"NO AID",482.763156891,0,0,0.49915099144,0,0.25,1,1.74799745336,0.25,0.49915099144,2
"42",5,"Female",4,"n/a","hard","n/a",42,"NO AID",484.273459911,0,0,0.676904916763,0,0.25,1,2.39569054006,0.25,0.676904916763,2
"43",5,"Female",4,"n/a","hard","n/a",43,"NO AID",485.967566013,1,1,0.398750066757,1,0.25,1,3.03640084703,0.25,0.398750066757,2
"44",5,"Female",4,"n/a","hard","n/a",44,"NO AID",487.379198074,0,1,0.627164125443,0,0.25,0,2.51559513234,0.25,0.627164125443,2
"45",5,"Female",4,"n/a","hard","n/a",45,"NO AID",489.014424086,1,0,0.576012849808,1,0.25,0,2.66533655586,0.25,0.576012849808,2
"46",5,"Female",4,"n/a","hard","n/a",46,"NO AID",490.60276103,0,0,0.659635066986,0,0.25,1,2.4867138878,0.25,0.659635066986,2
"47",5,"Female",4,"n/a","hard","n/a",47,"NO AID",492.273101091,0,0,0.629283905029,0,0.25,1,1.94569997251,0.25,0.629283905029,2
"48",5,"Female",4,"n/a","hard","n/a",48,"NO AID",493.908453941,0,0,0.409931898117,0,0.25,1,2.17360950248,0.25,0.409931898117,2
"49",5,"Female",4,"n/a","hard","n/a",49,"NO AID",495.331994057,0,0,0.874432086945,1,0.25,1,2.28324950386,0.25,0.874432086945,2
"50",5,"Female",4,"n/a","hard","n/a",50,"NO AID",497.214304924,1,1,0.480110168457,1,0.25,1,2.72071566491,0.25,0.480110168457,2
"51",5,"Female",4,"n/a","hard","n/a",51,"NO AID",498.708497047,1,1,0.529975891113,1,0.25,1,3.09075338188,0.25,0.529975891113,2
"52",5,"Female",4,"n/a","hard","n/a",52,"NO AID",500.249353886,1,1,0.373054981232,1,0.25,1,2.79474988731,0.25,0.373054981232,2
"53",5,"Female",4,"n/a","hard","n/a",53,"NO AID",501.637733936,1,1,0.664705038071,1,0.25,1,2.63783107823,0.25,0.664705038071,2
"54",5,"Female",4,"n/a","hard","n/a",54,"NO AID",503.308162928,1,1,0.554275989532,1,0.25,1,2.63619240965,0.25,0.554275989532,2
"55",5,"Female",4,"n/a","hard","n/a",55,"NO AID",504.872859001,0,1,0.46960401535,0,0.25,0,2.4872021851,0.25,0.46960401535,2
"56",5,"Female",4,"n/a","hard","n/a",56,"NO AID",506.355340004,1,1,0.475120067596,1,0.25,1,2.89836543204,0.25,0.475120067596,2
"57",5,"Female",4,"n/a","hard","n/a",57,"NO AID",507.837599039,1,1,0.464974880219,1,0.25,1,3.09164471582,0.25,0.464974880219,2
"58",5,"Female",4,"n/a","hard","n/a",58,"NO AID",509.320013046,0,1,0.374496936798,0,0.25,0,2.74340874409,0.25,0.374496936798,2
"59",5,"Female",4,"n/a","hard","n/a",59,"NO AID",510.708122015,1,1,0.442368984222,1,0.25,1,2.84769138412,0.25,0.442368984222,2
"60",5,"Female",4,"n/a","hard","n/a",60,"NO AID",512.166857958,1,0,0.679649114609,1,0.25,0,2.42206997023,0.25,0.679649114609,2
"61",5,"Female",4,"n/a","hard","n/a",61,"NO AID",513.861006975,0,1,0.321467876434,0,0.25,0,1.8473800314,0.25,0.321467876434,2
"62",5,"Female",4,"n/a","hard","n/a",62,"NO AID",515.190363884,0,0,0.696128129959,0,0.25,1,2.5011331422,0.25,0.696128129959,2
"63",5,"Female",4,"n/a","hard","n/a",63,"NO AID",516.896219969,1,0,0.446291923523,1,0.25,0,2.47214104615,0.25,0.446291923523,2
"64",5,"Female",4,"n/a","hard","n/a",64,"NO AID",518.35503006,0,0,0.459487915039,0,0.25,1,2.09949414405,0.25,0.459487915039,2
"65",5,"Female",4,"n/a","hard","n/a",65,"NO AID",519.825581074,0,0,0.52496099472,0,0.25,1,1.78356448118,0.25,0.52496099472,2
"66",5,"Female",4,"n/a","hard","n/a",66,"NO AID",521.366714954,1,1,0.415822029114,1,0.25,1,2.82814842063,0.25,0.415822029114,2
"67",5,"Female",4,"n/a","hard","n/a",67,"NO AID",522.790222883,0,0,0.680313110352,0,0.25,1,1.83345818096,0.25,0.680313110352,2
"68",5,"Female",4,"n/a","hard","n/a",68,"NO AID",524.484277964,1,1,0.562321901321,1,0.25,1,2.60415255738,0.25,0.562321901321,2
"69",5,"Female",4,"n/a","hard","n/a",69,"NO AID",526.060747862,1,1,0.585839986801,1,0.25,1,3.45306251342,0.25,0.585839986801,2
"70",5,"Female",4,"n/a","hard","n/a",70,"NO AID",527.66080308,1,0,0.641804933548,1,0.25,0,2.34579621439,0.25,0.641804933548,2
"71",5,"Female",4,"n/a","hard","n/a",71,"NO AID",529.319598913,1,1,0.559009075165,1,0.25,1,2.7455433017,0.25,0.559009075165,2
"72",5,"Female",4,"n/a","hard","n/a",72,"NO AID",530.896007061,1,1,0.478600978851,0,0.25,1,2.73153334934,0.25,0.478600978851,2
"73",5,"Female",4,"n/a","hard","n/a",73,"NO AID",532.390136957,0,0,1.30449986458,0,0.25,1,2.24245417224,0.25,1.30449986458,2
"74",5,"Female",4,"n/a","hard","n/a",74,"NO AID",534.70765686,1,1,0.499002933502,1,0.25,1,3.04287702861,0.25,0.499002933502,2
