"","ID","condition","gender","order","difficulty","falseAlarm","trial","decide","signal","humanResp","humanRT","autoResp","ACC","stimlength","A","B","C","Y_bar.jkl"
"1",1,1,1,1,1,3,60.5,2,0.416666666666667,0.433333333333333,0.796289831399958,0.416666666666667,0.95,2.45108489791175,3,3,1,0.866666666666667
"2",2,1,1,2,1,3,60.5,2,0.516666666666667,0.508333333333333,0.641207257906475,0.508333333333333,0.891666666666667,2.5367512795735,3,3,1,0.866666666666667
"3",6,1,1,3,1,3,60.5,2,0.5,0.516666666666667,0.687046166261025,0.491666666666667,0.9,2.50570723551658,3,3,1,0.866666666666667
"4",8,1,1,1,1,3,60.5,2,0.583333333333333,0.566666666666667,0.738473037878767,0.575,0.916666666666667,2.54174456381208,3,3,1,0.866666666666667
"5",9,1,1,1,1,3,60.5,2,0.491666666666667,0.5,1.14388635357213,0.508333333333333,0.925,2.492956753918,3,3,1,0.866666666666667
"6",10,1,1,2,1,3,60.5,2,0.508333333333333,0.45,0.671115960677392,0.508333333333333,0.808333333333333,2.501677286448,3,3,1,0.866666666666667
"7",12,1,1,4,1,3,60.5,2,0.391666666666667,0.391666666666667,0.579832323392275,0.416666666666667,0.95,2.42256568765875,3,3,1,0.866666666666667
"8",13,1,2,4,1,3,60.5,2,0.491666666666667,0.5,0.81163157820725,0.466666666666667,0.841666666666667,2.491590252712,3,3,1,0.866666666666667
"9",16,1,1,1,1,3,60.5,2,0.5,0.475,0.782457160949583,0.483333333333333,0.941666666666667,2.50627653654175,3,3,1,0.866666666666667
"10",18,1,1,2,1,3,60.5,2,0.533333333333333,0.433333333333333,1.5781716545421,0.541666666666667,0.8,2.52848242378958,3,3,1,0.866666666666667
"11",19,1,1,3,1,3,60.5,2,0.491666666666667,0.55,0.90212769309705,0.533333333333333,0.891666666666667,2.47460635342425,3,3,1,0.866666666666667
"12",22,1,1,3,1,3,60.5,2,0.516666666666667,0.516666666666667,0.563476161162083,0.491666666666667,0.816666666666667,2.53614101254917,3,3,1,0.866666666666667
"13",26,1,2,2,1,3,60.5,2,0.433333333333333,0.283333333333333,0.79236000577605,0.416666666666667,0.783333333333333,2.47538341624333,3,3,1,0.866666666666667
"14",28,1,2,4,1,3,60.5,2,0.558333333333333,0.575,0.741715653737558,0.558333333333333,0.916666666666667,2.52012495432975,3,3,1,0.866666666666667
"15",29,1,2,4,1,3,60.5,2,0.475,0.391666666666667,0.8135885755219,0.466666666666667,0.883333333333333,2.47073389047283,3,3,1,0.866666666666667
"16",30,1,2,3,1,3,60.5,2,0.45,0.433333333333333,0.731121319532741,0.466666666666667,0.8,2.463677066668,3,3,1,0.866666666666667
"17",32,1,2,1,1,3,60.5,2,0.5,0.483333333333333,0.745110412438842,0.516666666666667,0.833333333333333,2.49431147474317,3,3,1,0.866666666666667
"18",34,1,1,2,1,3,60.5,2,0.508333333333333,0.466666666666667,0.678536925713192,0.516666666666667,0.908333333333333,2.4952453931195,3,3,1,0.866666666666667
"19",35,1,1,3,1,3,60.5,2,0.516666666666667,0.533333333333333,0.864486807584917,0.508333333333333,0.933333333333333,2.52242470924158,3,3,1,0.866666666666667
"20",36,1,2,4,1,3,60.5,2,0.566666666666667,0.441666666666667,1.14181278745314,0.566666666666667,0.791666666666667,2.5453204479365,3,3,1,0.866666666666667
"21",37,1,1,4,1,3,60.5,2,0.466666666666667,0.416666666666667,0.9430565138659,0.45,0.816666666666667,2.504326841985,3,3,1,0.866666666666667
