"","ID","condition","gender","order","difficulty","falseAlarm","trial","decide","signal","humanResp","humanRT","autoResp","ACC","stimlength","A","B","C","Y_bar.jkl"
"1",5,1,1,4,1,3,60.5,2,0.466666666666667,0.483333333333333,0.468818072478023,0.425,0.716666666666667,2.47924533896667,3,3,1,0.796428571428571
"2",7,1,1,2,1,3,60.5,2,0.483333333333333,0.5,0.768268390496467,0.491666666666667,0.616666666666667,2.47610732384125,3,3,1,0.796428571428571
"3",11,1,1,3,1,3,60.5,2,0.525,0.533333333333333,0.832226941982942,0.516666666666667,0.908333333333333,2.49515481808633,3,3,1,0.796428571428571
"4",15,1,2,2,1,3,60.5,2,0.416666666666667,0.425,0.842173051834442,0.408333333333333,0.858333333333333,2.45410606536283,3,3,1,0.796428571428571
"5",17,1,1,1,1,3,60.5,2,0.475,0.491666666666667,0.752889013290308,0.458333333333333,0.933333333333333,2.47475371755875,3,3,1,0.796428571428571
"6",21,1,2,4,1,3,60.5,2,0.441666666666667,0.641666666666667,0.640161571900233,0.433333333333333,0.75,2.43757855165625,3,3,1,0.796428571428571
"7",23,1,1,2,1,3,60.5,2,0.591666666666667,0.566666666666667,0.631746943791708,0.583333333333333,0.908333333333333,2.55779786803142,3,3,1,0.796428571428571
"8",27,1,1,3,1,3,60.5,2,0.5,0.45,0.750075644254783,0.508333333333333,0.883333333333333,2.49560774342975,3,3,1,0.796428571428571
"9",33,1,1,1,1,3,60.5,2,0.533333333333333,0.516666666666667,0.6781665722528,0.541666666666667,0.9,2.52066179827767,3,3,1,0.796428571428571
"10",39,1,1,2,1,3,60.5,2,0.45,0.541666666666667,0.627589748303167,0.416666666666667,0.891666666666667,2.470968823553,3,3,1,0.796428571428571
"11",41,1,1,1,1,3,60.5,2,0.458333333333333,0.291666666666667,0.485134023427975,0.441666666666667,0.75,2.48769495545767,3,3,1,0.796428571428571
"12",46,1,1,3,1,3,60.5,2,0.466666666666667,0.391666666666667,0.513124320904445,0.483333333333333,0.758333333333333,2.47256882552958,3,3,1,0.796428571428571
"13",47,1,2,2,1,3,60.5,2,0.408333333333333,0.475,1.2096013943352,0.425,0.45,2.46753127690242,3,3,1,0.796428571428571
"14",54,1,1,3,1,3,60.5,2,0.5,0.358333333333333,0.623360737164775,0.491666666666667,0.825,2.48843252400867,3,3,1,0.796428571428571
"15",5,2,1,4,2,3,60.5,2,0.525,0.616666666666667,0.56264450748765,0.533333333333333,0.775,2.51636862326542,3,3,2,0.726785714285714
"16",7,2,1,2,2,3,60.5,2,0.45,0.416666666666667,0.973380668958217,0.45,0.7,2.4954572225455,3,3,2,0.726785714285714
"17",11,2,1,3,2,3,60.5,2,0.508333333333333,0.508333333333333,0.867587681611267,0.491666666666667,0.716666666666667,2.5510420743525,3,3,2,0.726785714285714
"18",15,2,2,2,2,3,60.5,2,0.408333333333333,0.416666666666667,0.949392718076975,0.408333333333333,0.791666666666667,2.44959726385717,3,3,2,0.726785714285714
"19",17,2,1,1,2,3,60.5,2,0.458333333333333,0.466666666666667,0.963133178154542,0.458333333333333,0.791666666666667,2.48405879452283,3,3,2,0.726785714285714
"20",21,2,2,4,2,3,60.5,2,0.491666666666667,0.483333333333333,0.833386913935217,0.475,0.758333333333333,2.465890861106,3,3,2,0.726785714285714
"21",23,2,1,2,2,3,60.5,2,0.466666666666667,0.483333333333333,0.646638089418475,0.483333333333333,0.666666666666667,2.46970561017575,3,3,2,0.726785714285714
"22",27,2,1,3,2,3,60.5,2,0.466666666666667,0.366666666666667,0.742488539218808,0.416666666666667,0.75,2.49522389440058,3,3,2,0.726785714285714
"23",33,2,1,1,2,3,60.5,2,0.533333333333333,0.5,0.580620296796117,0.541666666666667,0.766666666666667,2.47004155351575,3,3,2,0.726785714285714
"24",39,2,1,2,2,3,60.5,2,0.566666666666667,0.625,0.59960716565435,0.55,0.791666666666667,2.53647860204292,3,3,2,0.726785714285714
"25",41,2,1,1,2,3,60.5,2,0.558333333333333,0.525,0.5372746268908,0.575,0.733333333333333,2.5205138063035,3,3,2,0.726785714285714
"26",46,2,1,3,2,3,60.5,2,0.566666666666667,0.483333333333333,0.544401750961983,0.558333333333333,0.716666666666667,2.52894944211617,3,3,2,0.726785714285714
"27",47,2,2,2,2,3,60.5,2,0.533333333333333,0.466666666666667,0.975502326091233,0.533333333333333,0.516666666666667,2.55582697439783,3,3,2,0.726785714285714
"28",54,2,1,3,2,3,60.5,2,0.475,0.358333333333333,0.677448832988708,0.483333333333333,0.7,2.53630442642492,3,3,2,0.726785714285714
"29",5,3,1,4,1,2,60.5,1,0.5,0.525,0.661286381880433,0.5,0.908333333333333,2.49628582922275,1,2,1,0.902380952380952
"30",7,3,1,2,1,2,60.5,1,0.525,0.5,1.00395342906337,0.491666666666667,0.975,2.49937647978817,1,2,1,0.902380952380952
"31",11,3,1,3,1,2,60.5,1,0.541666666666667,0.541666666666667,0.647614236672653,0.525,0.9,2.48552556691383,1,2,1,0.902380952380952
"32",15,3,2,2,1,2,60.5,1,0.558333333333333,0.575,0.765195033947533,0.558333333333333,0.933333333333333,2.53735057947408,1,2,1,0.902380952380952
"33",17,3,1,1,1,2,60.5,1,0.5,0.491666666666667,0.784153632323008,0.483333333333333,0.958333333333333,2.507797423293,1,2,1,0.902380952380952
"34",21,3,2,4,1,2,60.5,1,0.575,0.566666666666667,0.754071108500242,0.55,0.891666666666667,2.55652699111917,1,2,1,0.902380952380952
"35",23,3,1,2,1,2,60.5,1,0.491666666666667,0.533333333333333,0.659195373455692,0.516666666666667,0.891666666666667,2.48331169404542,1,2,1,0.902380952380952
"36",27,3,1,3,1,2,60.5,1,0.533333333333333,0.491666666666667,0.714826140801167,0.533333333333333,0.891666666666667,2.53482700952942,1,2,1,0.902380952380952
"37",33,3,1,1,1,2,60.5,1,0.508333333333333,0.491666666666667,0.682583729426033,0.508333333333333,0.9,2.49622815104783,1,2,1,0.902380952380952
"38",39,3,1,2,1,2,60.5,1,0.491666666666667,0.516666666666667,0.505225787560208,0.516666666666667,0.875,2.51737685425333,1,2,1,0.902380952380952
"39",41,3,1,1,1,2,60.5,1,0.466666666666667,0.575,0.6338211099307,0.458333333333333,0.758333333333333,2.48815046145758,1,2,1,0.902380952380952
"40",46,3,1,3,1,2,60.5,1,0.525,0.5,0.627187585830592,0.508333333333333,0.891666666666667,2.509720626263,1,2,1,0.902380952380952
"41",47,3,2,2,1,2,60.5,1,0.508333333333333,0.516666666666667,0.995838280518583,0.5,0.958333333333333,2.492021767311,1,2,1,0.902380952380952
"42",54,3,1,3,1,2,60.5,1,0.45,0.466666666666667,0.703232244650508,0.466666666666667,0.9,2.47714634417642,1,2,1,0.902380952380952
"43",5,4,1,4,2,2,60.5,1,0.483333333333333,0.491666666666667,0.667138661940883,0.491666666666667,0.891666666666667,2.502507164391,1,2,2,0.891666666666667
"44",7,4,1,2,2,2,60.5,1,0.475,0.491666666666667,1.01025607585913,0.483333333333333,0.95,2.45800369485075,1,2,2,0.891666666666667
"45",11,4,1,3,2,2,60.5,1,0.516666666666667,0.491666666666667,0.758631982405975,0.508333333333333,0.941666666666667,2.52448817448225,1,2,2,0.891666666666667
"46",15,4,2,2,2,2,60.5,1,0.491666666666667,0.541666666666667,0.955491407712467,0.541666666666667,0.933333333333333,2.49454864988975,1,2,2,0.891666666666667
"47",17,4,1,1,2,2,60.5,1,0.433333333333333,0.483333333333333,0.738872400919575,0.45,0.85,2.47524393317783,1,2,2,0.891666666666667
"48",21,4,2,4,2,2,60.5,1,0.558333333333333,0.525,0.896514964103767,0.533333333333333,0.883333333333333,2.50278447190417,1,2,2,0.891666666666667
"49",23,4,1,2,2,2,60.5,1,0.416666666666667,0.391666666666667,0.751007086038558,0.383333333333333,0.925,2.46663507376508,1,2,2,0.891666666666667
"50",27,4,1,3,2,2,60.5,1,0.533333333333333,0.525,0.723594115177867,0.533333333333333,0.808333333333333,2.51185510830975,1,2,2,0.891666666666667
"51",33,4,1,1,2,2,60.5,1,0.55,0.5,0.639497993389725,0.541666666666667,0.833333333333333,2.55915067440475,1,2,2,0.891666666666667
"52",39,4,1,2,2,2,60.5,1,0.475,0.491666666666667,0.765382154782617,0.516666666666667,0.9,2.46787905567625,1,2,2,0.891666666666667
"53",41,4,1,1,2,2,60.5,1,0.516666666666667,0.466666666666667,0.533327313264217,0.5,0.783333333333333,2.49265647470983,1,2,2,0.891666666666667
"54",46,4,1,3,2,2,60.5,1,0.483333333333333,0.466666666666667,0.651075696945136,0.466666666666667,0.9,2.48614972813742,1,2,2,0.891666666666667
"55",47,4,2,2,2,2,60.5,1,0.4,0.408333333333333,1.25164347688373,0.416666666666667,0.941666666666667,2.43816650830308,1,2,2,0.891666666666667
"56",54,4,1,3,2,2,60.5,1,0.475,0.45,0.72402692834535,0.483333333333333,0.941666666666667,2.53135922885617,1,2,2,0.891666666666667
"57",5,5,1,4,1,1,60.5,1,0.541666666666667,0.608333333333333,0.496906602382683,0.583333333333333,0.816666666666667,2.52201931457575,1,1,1,0.833333333333333
"58",7,5,1,2,1,1,60.5,1,0.516666666666667,0.491666666666667,0.84176644682885,0.516666666666667,0.725,2.51927804484958,1,1,1,0.833333333333333
"59",11,5,1,3,1,1,60.5,1,0.591666666666667,0.6,0.878854457537433,0.575,0.925,2.56790425281775,1,1,1,0.833333333333333
"60",15,5,2,2,1,1,60.5,1,0.408333333333333,0.483333333333333,0.757554147640725,0.45,0.875,2.45922586288758,1,1,1,0.833333333333333
"61",17,5,1,1,1,1,60.5,1,0.533333333333333,0.541666666666667,0.722423460086192,0.508333333333333,0.891666666666667,2.53501924184608,1,1,1,0.833333333333333
"62",21,5,2,4,1,1,60.5,1,0.425,0.441666666666667,0.647092598676783,0.441666666666667,0.8,2.44507369498692,1,1,1,0.833333333333333
"63",23,5,1,2,1,1,60.5,1,0.483333333333333,0.441666666666667,0.626501208543783,0.433333333333333,0.825,2.47609864166392,1,1,1,0.833333333333333
"64",27,5,1,3,1,1,60.5,1,0.425,0.425,0.8232571641603,0.491666666666667,0.9,2.4632217546585,1,1,1,0.833333333333333
"65",33,5,1,1,1,1,60.5,1,0.45,0.416666666666667,0.622941281398208,0.466666666666667,0.816666666666667,2.45693393691925,1,1,1,0.833333333333333
"66",39,5,1,2,1,1,60.5,1,0.466666666666667,0.491666666666667,0.541828519105858,0.475,0.858333333333333,2.47582728911942,1,1,1,0.833333333333333
"67",41,5,1,1,1,1,60.5,1,0.475,0.583333333333333,0.527842438221008,0.541666666666667,0.791666666666667,2.48034521694008,1,1,1,0.833333333333333
"68",46,5,1,3,1,1,60.5,1,0.591666666666667,0.591666666666667,0.68854137063035,0.6,0.75,2.56464536062933,1,1,1,0.833333333333333
"69",47,5,2,2,1,1,60.5,1,0.466666666666667,0.433333333333333,1.14750524163268,0.458333333333333,0.916666666666667,2.47766425549142,1,1,1,0.833333333333333
"70",54,5,1,3,1,1,60.5,1,0.508333333333333,0.366666666666667,0.687926475207042,0.508333333333333,0.775,2.509436171209,1,1,1,0.833333333333333
"71",5,6,1,4,2,1,60.5,1,0.525,0.55,0.498846866687178,0.508333333333333,0.708333333333333,2.47391507587175,1,1,2,0.769642857142857
"72",7,6,1,2,2,1,60.5,1,0.416666666666667,0.375,0.9475764671962,0.4,0.708333333333333,2.48195292451467,1,1,2,0.769642857142857
"73",11,6,1,3,2,1,60.5,1,0.491666666666667,0.416666666666667,0.756364516417142,0.5,0.691666666666667,2.50940462186108,1,1,2,0.769642857142857
"74",15,6,2,2,2,1,60.5,1,0.533333333333333,0.541666666666667,0.942756521702117,0.491666666666667,0.791666666666667,2.52215554387267,1,1,2,0.769642857142857
"75",17,6,1,1,2,1,60.5,1,0.475,0.508333333333333,0.8070511500041,0.441666666666667,0.75,2.51017468698617,1,1,2,0.769642857142857
"76",21,6,2,4,2,1,60.5,1,0.55,0.558333333333333,0.91190200646735,0.558333333333333,0.808333333333333,2.52874951098667,1,1,2,0.769642857142857
"77",23,6,1,2,2,1,60.5,1,0.483333333333333,0.516666666666667,0.684414515892683,0.5,0.833333333333333,2.45962471306567,1,1,2,0.769642857142857
"78",27,6,1,3,2,1,60.5,1,0.5,0.458333333333333,0.574674057960558,0.508333333333333,0.808333333333333,2.47253360844458,1,1,2,0.769642857142857
"79",33,6,1,1,2,1,60.5,1,0.516666666666667,0.441666666666667,0.5840384403865,0.583333333333333,0.825,2.49824069292625,1,1,2,0.769642857142857
"80",39,6,1,2,2,1,60.5,1,0.483333333333333,0.483333333333333,0.585358246167525,0.525,0.8,2.50774457932317,1,1,2,0.769642857142857
"81",41,6,1,1,2,1,60.5,1,0.491666666666667,0.466666666666667,0.481797722975383,0.516666666666667,0.725,2.4847377153015,1,1,2,0.769642857142857
"82",46,6,1,3,2,1,60.5,1,0.475,0.458333333333333,0.67781035701445,0.441666666666667,0.733333333333333,2.4791374858475,1,1,2,0.769642857142857
"83",47,6,2,2,2,1,60.5,1,0.433333333333333,0.416666666666667,1.58698661128692,0.425,0.816666666666667,2.50652892863733,1,1,2,0.769642857142857
"84",54,6,1,3,2,1,60.5,1,0.483333333333333,0.341666666666667,0.605117760101908,0.466666666666667,0.775,2.484180975686,1,1,2,0.769642857142857
"85",5,7,1,4,1,2,60.5,3,0.541666666666667,0.00833333333333333,0.0863869567712404,0.558333333333333,0.958333333333333,2.52243912352667,2,2,1,0.917261904761905
"86",7,7,1,2,1,2,60.5,3,0.5,0.0166666666666667,0.429809256394709,0.5,0.95,2.50546009885025,2,2,1,0.917261904761905
"87",11,7,1,3,1,2,60.5,3,0.475,0,0.558621994654376,0.475,0.966666666666667,2.48553880319542,2,2,1,0.917261904761905
"88",15,7,2,2,1,2,60.5,3,0.516666666666667,0.025,0.493392844994792,0.508333333333333,0.95,2.5036775065085,2,2,1,0.917261904761905
"89",17,7,1,1,1,2,60.5,3,0.558333333333333,0.0666666666666667,0.766114970048148,0.566666666666667,0.925,2.50429041727792,2,2,1,0.917261904761905
"90",21,7,2,4,1,2,60.5,3,0.466666666666667,0.00833333333333333,0.237346768379217,0.458333333333333,0.966666666666667,2.47712640987883,2,2,1,0.917261904761905
"91",23,7,1,2,1,2,60.5,3,0.491666666666667,0.0333333333333333,0.356062151988338,0.516666666666667,0.925,2.50265681187342,2,2,1,0.917261904761905
"92",27,7,1,3,1,2,60.5,3,0.558333333333333,0.0333333333333333,0.292950210968646,0.533333333333333,0.891666666666667,2.52156323376117,2,2,1,0.917261904761905
"93",33,7,1,1,1,2,60.5,3,0.508333333333333,0.0916666666666667,0.372255917390256,0.483333333333333,0.9,2.50494464685708,2,2,1,0.917261904761905
"94",39,7,1,2,1,2,60.5,3,0.566666666666667,0.0166666666666667,0.516421081622354,0.541666666666667,0.941666666666667,2.52420548563683,2,2,1,0.917261904761905
"95",41,7,1,1,1,2,60.5,3,0.558333333333333,0.158333333333333,0.410878930489225,0.591666666666667,0.791666666666667,2.53987772615025,2,2,1,0.917261904761905
"96",46,7,1,3,1,2,60.5,3,0.541666666666667,0.0916666666666667,0.429428712527031,0.525,0.891666666666667,2.54219464725,2,2,1,0.917261904761905
"97",47,7,2,2,1,2,60.5,3,0.516666666666667,0.05,0.502978312969245,0.533333333333333,0.9,2.51381720688492,2,2,1,0.917261904761905
"98",54,7,1,3,1,2,60.5,3,0.491666666666667,0.05,0.380662490924242,0.475,0.883333333333333,2.49619816195075,2,2,1,0.917261904761905
"99",5,8,1,4,2,2,60.5,3,0.483333333333333,0.05,0.147805730501835,0.491666666666667,0.925,2.48211987201317,2,2,2,0.916666666666667
"100",7,8,1,2,2,2,60.5,3,0.425,0.00833333333333333,0.647259157896058,0.425,0.958333333333333,2.47836793929692,2,2,2,0.916666666666667
"101",11,8,1,3,2,2,60.5,3,0.541666666666667,0,0.30038064122202,0.516666666666667,0.941666666666667,2.52515824765567,2,2,2,0.916666666666667
"102",15,8,2,2,2,2,60.5,3,0.508333333333333,0.075,0.430315357446675,0.475,0.875,2.47158389707858,2,2,2,0.916666666666667
"103",17,8,1,1,2,2,60.5,3,0.533333333333333,0.00833333333333333,0.742970645428012,0.525,0.983333333333333,2.50978402422458,2,2,2,0.916666666666667
"104",21,8,2,4,2,2,60.5,3,0.5,0.05,0.395434166987744,0.491666666666667,0.891666666666667,2.50581645208642,2,2,2,0.916666666666667
"105",23,8,1,2,2,2,60.5,3,0.55,0.0416666666666667,0.363438425461508,0.55,0.908333333333333,2.51671299750808,2,2,2,0.916666666666667
"106",27,8,1,3,2,2,60.5,3,0.441666666666667,0.00833333333333333,0.438242773215,0.458333333333333,0.958333333333333,2.49003830710408,2,2,2,0.916666666666667
"107",33,8,1,1,2,2,60.5,3,0.483333333333333,0,0.13858147859573,0.475,0.975,2.519057284351,2,2,2,0.916666666666667
"108",39,8,1,2,2,2,60.5,3,0.483333333333333,0.0166666666666667,0.44754169583315,0.508333333333333,0.925,2.48801293239925,2,2,2,0.916666666666667
"109",41,8,1,1,2,2,60.5,3,0.358333333333333,0.166666666666667,0.328422003984418,0.383333333333333,0.791666666666667,2.4590716554525,2,2,2,0.916666666666667
"110",46,8,1,3,2,2,60.5,3,0.541666666666667,0.025,0.339316119750384,0.533333333333333,0.95,2.4768006434955,2,2,2,0.916666666666667
"111",47,8,2,2,2,2,60.5,3,0.425,0.0833333333333333,0.622083463271517,0.433333333333333,0.875,2.464698175388,2,2,2,0.916666666666667
"112",54,8,1,3,2,2,60.5,3,0.541666666666667,0.0583333333333333,0.479912934700587,0.525,0.875,2.55724489736242,2,2,2,0.916666666666667
"113",5,9,1,4,1,1,60.5,3,0.516666666666667,0.0833333333333333,0.146925173203185,0.533333333333333,0.733333333333333,2.51694251335108,2,1,1,0.719642857142857
"114",7,9,1,2,1,1,60.5,3,0.5,0.125,0.786893973748017,0.516666666666667,0.725,2.50419373226408,2,1,1,0.719642857142857
"115",11,9,1,3,1,1,60.5,3,0.516666666666667,0.208333333333333,1.0616069853306,0.583333333333333,0.691666666666667,2.48101836068442,2,1,1,0.719642857142857
"116",15,9,2,2,1,1,60.5,3,0.525,0.0583333333333333,0.538256261746058,0.541666666666667,0.825,2.49979222702583,2,1,1,0.719642857142857
"117",17,9,1,1,1,1,60.5,3,0.558333333333333,0.208333333333333,1.05421292980502,0.541666666666667,0.775,2.52233745935375,2,1,1,0.719642857142857
"118",21,9,2,4,1,1,60.5,3,0.508333333333333,0.233333333333333,0.612060014406825,0.458333333333333,0.7,2.48465696698692,2,1,1,0.719642857142857
"119",23,9,1,2,1,1,60.5,3,0.491666666666667,0.0666666666666667,0.477724248170832,0.483333333333333,0.808333333333333,2.47596138709117,2,1,1,0.719642857142857
"120",27,9,1,3,1,1,60.5,3,0.433333333333333,0.158333333333333,0.6972426235676,0.45,0.758333333333333,2.45469217945092,2,1,1,0.719642857142857
"121",33,9,1,1,1,1,60.5,3,0.533333333333333,0.183333333333333,0.696372276544475,0.575,0.758333333333333,2.5239056137875,2,1,1,0.719642857142857
"122",39,9,1,2,1,1,60.5,3,0.5,0.0916666666666667,0.734526012341208,0.416666666666667,0.891666666666667,2.49539522062425,2,1,1,0.719642857142857
"123",41,9,1,1,1,1,60.5,3,0.508333333333333,0.141666666666667,0.326936179399513,0.533333333333333,0.716666666666667,2.52703233907425,2,1,1,0.719642857142857
"124",46,9,1,3,1,1,60.5,3,0.558333333333333,0.558333333333333,0.70749400258065,0.55,0.416666666666667,2.55016900238742,2,1,1,0.719642857142857
"125",47,9,2,2,1,1,60.5,3,0.491666666666667,0.141666666666667,0.260777733723325,0.466666666666667,0.7,2.505092444506,2,1,1,0.719642857142857
"126",54,9,1,3,1,1,60.5,3,0.45,0.383333333333333,0.83732538421965,0.491666666666667,0.575,2.49775769534967,2,1,1,0.719642857142857
"127",5,10,1,4,2,1,60.5,3,0.475,0.0583333333333333,0.0983689924081201,0.483333333333333,0.8,2.55287798621725,2,1,2,0.706547619047619
"128",7,10,1,2,2,1,60.5,3,0.366666666666667,0.0666666666666667,0.684839570522332,0.466666666666667,0.8,2.43580526627992,2,1,2,0.706547619047619
"129",11,10,1,3,2,1,60.5,3,0.525,0.0666666666666667,0.483466092745444,0.508333333333333,0.783333333333333,2.520869243282,2,1,2,0.706547619047619
