ID	gender	order	experiment	difficulty	falseAlarm	trial	condition	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	ACC	stimlength	RTor	RTand
50	Female	2	0	hard	low	1	REJECT	1044.27231789	1	0	17.6060659885	1	0.25	1	2.56845485547	0.25	17.6060659885
50	Female	2	0	hard	low	2	REJECT	1062.90022588	0	0	2.64764118195	0	0.25	1	2.42944705001	0.25	2.64764118195
50	Female	2	0	hard	low	3	REJECT	1066.58147693	0	0	1.49501609802	0	0.25	1	2.3836685038	0.25	1.49501609802
50	Female	2	0	hard	low	4	REJECT	1069.09832692	0	0	2.24487900734	0	0.25	1	2.05604363722	0.25	2.24487900734
50	Female	2	0	hard	low	5	REJECT	1072.36790991	1	0	1.44507694244	1	0.25	1	2.26100732699	0.25	1.44507694244
50	Female	2	0	hard	low	6	REJECT	1074.83779502	1	1	1.15101909637	1	0.25	0	3.314040814	0.25	1.15101909637
50	Female	2	0	hard	low	7	REJECT	1077.01359701	1	0	1.69405603409	1	0.25	1	1.96469973624	0.25	1.69405603409
50	Female	2	0	hard	low	8	REJECT	1079.74507308	1	1	6.3729288578	1	0.25	0	3.37746401622	0.25	6.3729288578
50	Female	2	0	hard	low	9	REJECT	1087.13983607	0	0	1.69211602211	0	0.25	1	2.11653172226	0.25	1.69211602211
50	Female	2	0	hard	low	10	REJECT	1089.85673404	0	1	4.16367602348	0	0.25	0	2.39617570929	0.25	4.16367602348
50	Female	2	0	hard	low	11	REJECT	1095.05794191	1	1	0.924772977829	1	0.25	0	2.97046149084	0.25	0.924772977829
50	Female	2	0	hard	low	12	REJECT	1097.00725508	0	1	1.25999903679	0	0.25	0	2.26705170288	0.25	1.25999903679
50	Female	2	0	hard	low	13	REJECT	1099.28909993	0	0	2.08312702179	0	0.25	1	1.82030654966	0.25	2.08312702179
50	Female	2	0	hard	low	14	REJECT	1102.39411306	1	1	0.692323923111	1	0.25	0	3.48480486098	0.25	0.692323923111
50	Female	2	0	hard	low	15	REJECT	1104.111202	0	1	1.78905797005	0	0.25	0	2.69898080957	0.25	1.78905797005
50	Female	2	0	hard	low	16	REJECT	1106.92205691	1	1	1.90669488907	1	0.25	0	2.65389739116	0.25	1.90669488907
50	Female	2	0	hard	low	17	REJECT	1109.85063601	0	0	1.45098900795	0	0.25	1	2.23223053728	0.25	1.45098900795
50	Female	2	0	hard	low	18	REJECT	1112.33212996	1	1	0.965870141983	1	0.25	0	2.70630925337	0.25	0.965870141983
50	Female	2	0	hard	low	19	REJECT	1114.31983709	0	1	1.26286387444	0	0.25	0	2.77502134815	0.25	1.26286387444
50	Female	2	0	hard	low	20	REJECT	1116.61332798	1	0	1.8478000164	1	0.25	1	2.75853505088	0.25	1.8478000164
50	Female	2	0	hard	low	21	REJECT	1119.48304892	0	1	1.29212021828	0	0.25	0	2.46401908812	0.25	1.29212021828
50	Female	2	0	hard	low	22	REJECT	1121.80281997	1	1	0.818838119507	1	0.25	0	2.94390233043	0.25	0.818838119507
50	Female	2	0	hard	low	23	REJECT	1123.64931989	1	1	0.865868806839	1	0.25	0	2.99135609043	0.25	0.865868806839
50	Female	2	0	hard	low	24	REJECT	1125.54004788	0	0	2.48001194	0	0.25	1	2.46351814725	0.25	2.48001194
50	Female	2	0	hard	low	25	REJECT	1129.04478192	1	1	0.657090902328	1	0.25	0	3.28395110022	0.25	0.657090902328
50	Female	2	0	hard	low	26	REJECT	1130.72664905	0	0	4.3618209362	0	0.25	1	2.45799075888	0.25	4.3618209362
50	Female	2	0	hard	low	27	REJECT	1136.11311603	0	0	0.907030820847	0	0.25	1	1.96057181685	0.25	0.907030820847
50	Female	2	0	hard	low	28	REJECT	1138.04198503	1	1	0.965837001801	1	0.25	0	2.52324927405	0.25	0.965837001801
50	Female	2	0	hard	low	29	REJECT	1140.02963901	1	1	2.25954294205	1	0.25	0	3.09765984309	0.25	2.25954294205
