ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
42	20	Female	2	prac	1	1118.49476099	1	1	1.6447520256	1	0.25	0	2.8394636414	
42	20	Female	2	prac	2	1121.16715407	0	0	3.00639915466	0	0.25	1	2.2648485516	
42	20	Female	2	prac	3	1125.19825196	0	0	3.33863401413	0	0.25	1	1.97148751451	
42	20	Female	2	prac	4	1129.56167603	1	1	2.49469685555	1	0.25	0	2.5625899649	
42	20	Female	2	prac	5	1133.07810903	0	0	2.43596220016	0	0.25	1	1.97442888491	
42	20	Female	2	prac	6	1136.53576398	0	0	2.35398602486	0	0.25	1	2.22051924183	
42	20	Female	2	prac	7	1139.92292309	1	1	1.92750597	1	0.25	0	2.93344971667	
42	20	Female	2	prac	8	1142.87521696	0	0	2.14181184769	0	0.25	1	2.50746190529	
42	20	Female	2	prac	9	1146.03885198	0	0	2.5859079361	0	0.25	1	2.17475402888	
42	20	Female	2	prac	10	1149.65257311	1	1	2.24185085297	0	0.25	1	2.88950469917	
42	20	Female	2	prac	11	1152.91915298	1	1	3.33855605125	1	0.25	0	2.7125392078	
42	20	Female	2	prac	12	1157.28245807	0	0	1.49503016472	0	0.25	1	2.0277332587	
42	20	Female	2	prac	13	1159.79934788	0	0	1.55379104614	0	0.25	1	1.97075008644	
42	20	Female	2	prac	14	1162.37498093	0	0	1.97435998917	0	0.25	1	2.23202251684	
42	20	Female	2	prac	15	1165.37410092	1	1	4.42061305046	1	0.25	0	2.82833191006	
42	20	Female	2	prac	16	1170.8194921	1	0	2.97705292702	1	0.25	1	2.94275196554	
42	20	Female	2	prac	17	1174.82998705	0	0	1.76259303093	0	0.25	1	2.24241712523	
42	20	Female	2	prac	18	1177.62022901	0	0	1.31575298309	0	0.25	1	2.1719968614	
42	20	Female	2	prac	19	1179.95767593	0	0	1.38069796562	0	0.25	1	2.14890334897	
42	20	Female	2	prac	20	1182.36890602	1	0	2.23293209076	1	0.25	1	2.72437897653	
42	20	Female	2	prac	1	2513.35107207	1	0	5.79509806633	0	0.25	0	2.77652191614	
42	20	Female	2	prac	2	2520.16146708	1	1	1.88867688179	1	0.25	1	2.71863546592	
42	20	Female	2	prac	3	2523.06641293	1	1	1.50368714333	1	0.25	1	2.77138587879	
42	20	Female	2	prac	4	2525.58327699	1	1	1.55487704277	1	0.25	1	2.70657116086	
42	20	Female	2	prac	5	2528.14732409	1	0	3.0788640976	1	0.25	0	2.53800744553	
42	20	Female	2	prac	6	2532.24011803	0	0	0.786049842834	0	0.25	1	2.08107782861	
42	20	Female	2	prac	7	2534.0395999	0	0	1.00257205963	0	0.25	1	2.15482535379	
42	20	Female	2	prac	8	2536.05082488	1	1	0.943341016769	1	0.25	1	2.86799435457	
42	20	Female	2	prac	9	2538.00303602	0	0	0.751136064529	0	0.25	1	2.19689778937	
42	20	Female	2	prac	10	2539.76723695	1	1	0.69091296196	1	0.25	1	2.65584425326	
42	20	Female	2	prac	11	2541.47258496	1	1	0.801602125168	1	0.25	1	2.84235044799	
42	20	Female	2	prac	12	2543.28383994	0	0	0.710353851318	0	0.25	1	2.09146126579	
42	20	Female	2	prac	13	2545.00098395	1	1	0.609215021133	1	0.25	1	2.88356131537	
42	20	Female	2	prac	14	2546.62401891	1	1	1.69020605087	1	0.25	1	2.93909837107	
42	20	Female	2	prac	15	2549.32904506	1	1	2.40919399261	1	0.25	1	2.7115625204	
42	20	Female	2	prac	16	2552.75159788	1	1	1.01062202454	0	0.25	1	3.00965897238	
42	20	Female	2	prac	17	2554.77444792	1	1	0.995783090591	1	0.25	1	2.92317945117	
42	20	Female	2	prac	18	2556.78561592	0	1	1.3686439991	0	0.25	0	2.40067740387	
42	20	Female	2	prac	19	2559.16140103	0	0	0.744848012924	0	0.25	1	2.21362395794	
42	20	Female	2	prac	20	2560.91379404	1	0	1.86447310448	1	0.25	0	2.53841733375	
