ID	gender	order	experiment	difficulty	falseAlarm	trial	condition	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	ACC	stimlength	RTor	RTand
39	Female	2	n/a	hard	n/a	1	NO AID	749.518995047	0	0	0.987026929855	0	0.25	1	2.25751030459	0.25	0.987026929855
39	Female	2	n/a	hard	n/a	2	NO AID	751.521146059	0	0	0.632917881012	0	0.25	1	2.14164888296	0.25	0.632917881012
39	Female	2	n/a	hard	n/a	3	NO AID	753.167640924	0	0	0.426432132721	0	0.25	1	1.99031833434	0.25	0.426432132721
39	Female	2	n/a	hard	n/a	4	NO AID	754.602501154	0	1	0.607590198517	0	0.25	0	2.45406528428	0.25	0.607590198517
39	Female	2	n/a	hard	n/a	5	NO AID	756.225651979	0	0	0.520452022552	0	0.25	1	2.23827262508	0.25	0.520452022552
39	Female	2	n/a	hard	n/a	6	NO AID	757.754747152	0	0	0.5033659935	0	0.25	1	2.57060140073	0.25	0.5033659935
39	Female	2	n/a	hard	n/a	7	NO AID	759.271846056	1	0	0.506278991699	1	0.25	0	2.69429351243	0.25	0.506278991699
39	Female	2	n/a	hard	n/a	8	NO AID	760.788941145	1	1	0.541230916977	1	0.25	1	2.90418406118	0.25	0.541230916977
39	Female	2	n/a	hard	n/a	9	NO AID	762.341488123	1	1	0.420682907104	1	0.25	1	2.48674420174	0.25	0.420682907104
39	Female	2	n/a	hard	n/a	10	NO AID	763.77630496	1	1	0.369896173477	1	0.25	1	2.75742634969	0.25	0.369896173477
39	Female	2	n/a	hard	n/a	11	NO AID	765.152712107	0	1	0.289465904236	0	0.25	0	2.08431469052	0.25	0.289465904236
39	Female	2	n/a	hard	n/a	12	NO AID	766.457901001	0	0	0.664319038391	0	0.25	1	2.28958831929	0.25	0.664319038391
39	Female	2	n/a	hard	n/a	13	NO AID	768.139707088	1	1	0.662510871887	1	0.25	1	2.58058385409	0.25	0.662510871887
39	Female	2	n/a	hard	n/a	14	NO AID	769.80984807	1	1	0.696399927139	1	0.25	1	3.03157317924	0.25	0.696399927139
39	Female	2	n/a	hard	n/a	15	NO AID	771.515115976	1	1	0.503111124039	1	0.25	1	3.36264430524	0.25	0.503111124039
39	Female	2	n/a	hard	n/a	16	NO AID	773.032392979	1	1	0.385893106461	1	0.25	1	2.73066208367	0.25	0.385893106461
