ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
3	18	Male	3	prac	1	1107.44263196	0	0	4.93898582458	0	0.25	1	2.50673175004	
3	18	Male	3	prac	2	1113.39406991	1	1	1.3315820694	1	0.25	1	2.77137732631	
3	18	Male	3	prac	3	1115.73528695	0	0	1.1263999939	0	0.25	1	2.25688689667	
3	18	Male	3	prac	4	1117.87659788	1	1	0.937031030655	1	0.25	1	2.87251594739	
3	18	Male	3	prac	5	1119.82916594	1	1	1.31253504753	1	0.25	1	2.68808571925	
3	18	Male	3	prac	6	1122.15867591	0	0	1.28704190254	0	0.25	1	2.35686596203	
3	18	Male	3	prac	7	1124.45271301	1	0	1.76100087166	1	0.25	0	2.56822672489	
3	18	Male	3	prac	8	1127.22916698	0	0	1.12056398392	1	0.25	1	2.12180523743	
3	18	Male	3	prac	9	1129.35844302	0	0	0.951293945312	0	0.25	1	2.28433768017	
3	18	Male	3	prac	10	1131.32311893	0	0	0.78661608696	0	0.25	1	2.14865872924	
3	18	Male	3	prac	11	1133.12305188	1	1	0.466685771942	0	0.25	1	2.77377050669	
3	18	Male	3	prac	12	1134.60526896	1	1	0.608467102051	1	0.25	1	2.77845036077	
3	18	Male	3	prac	13	1136.22892094	0	0	1.88088297844	0	0.25	1	2.31046478024	
3	18	Male	3	prac	14	1139.1229279	1	1	0.594853162766	1	0.25	1	2.86359475673	
3	18	Male	3	prac	15	1140.73455095	0	0	0.975244998932	0	0.25	1	2.0377778294	
3	18	Male	3	prac	16	1142.72287488	0	0	0.738970994949	0	0.25	1	2.32284078694	
3	18	Male	3	prac	17	1144.47597003	1	1	0.60983300209	0	0.25	1	2.75799105231	
3	18	Male	3	prac	18	1146.09942102	0	0	0.946383953094	0	0.25	1	2.33237633689	
3	18	Male	3	prac	19	1148.05229592	0	0	1.49756097794	0	0.25	1	2.13956344657	
3	18	Male	3	prac	20	1150.55806994	0	0	0.671773910522	0	0.25	1	2.13060989124	
3	18	Male	3	prac	1	2692.78691101	0	0	2.87845301628	0	0.25	1	2.28128172638	
3	18	Male	3	prac	2	2696.69022489	0	0	0.765892028809	0	0.25	1	2.45413508179	
3	18	Male	3	prac	3	2698.49004698	0	0	1.08117890358	0	0.25	1	2.44026448401	
3	18	Male	3	prac	4	2700.59594703	1	1	0.810482978821	1	0.25	0	2.92489954652	
3	18	Male	3	prac	5	2702.43125701	0	0	1.62218880653	0	0.25	1	2.44456345782	
3	18	Male	3	prac	6	2705.07822585	0	0	0.716370105743	0	0.25	1	1.94022156495	
3	18	Male	3	prac	7	2706.81940293	1	0	1.59867620468	1	0.25	1	2.53920115504	
3	18	Male	3	prac	8	2709.44280601	1	0	3.50459098816	1	0.25	1	2.90432591017	
3	18	Male	3	prac	9	2713.97217107	0	0	0.978222131729	0	0.25	1	2.19658812357	
3	18	Male	3	prac	10	2715.98371196	1	1	1.41064405441	1	0.25	0	2.81678016142	
3	18	Male	3	prac	11	2718.41913986	0	1	0.83630490303	1	0.25	1	2.23696476808	
3	18	Male	3	prac	12	2720.28962302	0	0	0.939930915833	0	0.25	1	2.47877660458	
3	18	Male	3	prac	13	2722.25430298	1	1	1.75167894363	1	0.25	0	2.62343854565	
3	18	Male	3	prac	14	2725.03074598	0	0	1.60154891014	0	0.25	1	2.26221342604	
3	18	Male	3	prac	15	2727.66609287	0	0	1.06034898758	0	0.25	1	2.3587074908	
3	18	Male	3	prac	16	2729.76003194	0	0	1.07174396515	0	0.25	1	2.15608354801	
3	18	Male	3	prac	17	2731.86592793	1	0	1.54234004021	1	0.25	1	2.92265119146	
3	18	Male	3	prac	18	2734.44236708	1	1	1.64568591118	1	0.25	0	2.34353626184	
3	18	Male	3	prac	19	2737.11288404	0	0	0.798720121384	0	0.25	1	2.00124704259	
3	18	Male	3	prac	20	2738.93625402	0	0	0.68115401268	0	0.25	1	2.1960895162	
