ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
30	18	Male	3	prac	1	480.04135704	0	0	2.86944103241	0	0.25	1	2.1412879628	
30	18	Male	3	prac	2	483.941282034	0	0	2.46837186813	0	0.25	1	2.06132835326	
30	18	Male	3	prac	3	487.437556982	1	1	0.83348608017	1	0.25	0	2.71532755411	
30	18	Male	3	prac	4	489.3046031	1	0	1.11847996712	1	0.25	1	3.03948690294	
30	18	Male	3	prac	5	491.456571102	1	1	1.88039207458	1	0.25	0	2.75547512956	
30	18	Male	3	prac	6	494.364671946	1	0	1.3744199276	1	0.25	1	2.73905875533	
30	18	Male	3	prac	7	496.761005163	1	0	1.01306915283	1	0.25	1	2.70198931621	
30	18	Male	3	prac	8	498.807237148	0	0	1.436398983	0	0.25	1	2.01162905769	
30	18	Male	3	prac	9	501.265780926	0	0	1.10369610786	0	0.25	1	2.17856973127	
30	18	Male	3	prac	10	503.394134045	1	0	1.12766289711	1	0.25	1	2.74138705434	
30	18	Male	3	prac	11	505.546640158	0	1	1.57437181473	0	0.25	0	2.29072692643	
30	18	Male	3	prac	12	508.145978928	0	0	0.915626049042	0	0.25	1	2.08154116222	
30	18	Male	3	prac	13	510.086498022	1	0	1.20081400871	1	0.25	1	2.88458603539	
30	18	Male	3	prac	14	512.309334993	0	0	1.58605504036	0	0.25	1	2.11384138175	
30	18	Male	3	prac	15	514.923123121	1	0	1.08362603188	1	0.25	1	2.65091945053	
30	18	Male	3	prac	16	517.037122965	0	1	1.01003193855	0	0.25	0	2.32843845933	
30	18	Male	3	prac	17	519.071666002	0	0	0.81330704689	0	0.25	1	2.06806268779	
30	18	Male	3	prac	18	520.921187162	0	0	2.49181699753	0	0.25	1	2.26921697124	
30	18	Male	3	prac	19	524.435112	0	0	3.47962498665	0	0.25	1	2.07477942097	
30	18	Male	3	prac	20	528.939558029	0	0	2.83591198921	0	0.25	1	2.16692005547	
30	18	Male	3	prac	1	1487.98216295	0	0	0.963052988052	0	0.25	1	2.27459794214	
30	18	Male	3	prac	2	1489.95333195	1	1	0.735969781876	1	0.25	1	2.62949370688	
30	18	Male	3	prac	3	1491.70592999	0	0	0.767354011536	0	0.25	1	2.11200967059	
30	18	Male	3	prac	4	1493.4819231	1	1	0.799378871918	1	0.25	1	2.85390395585	
30	18	Male	3	prac	5	1495.29323316	1	1	0.468077898026	1	0.25	1	2.82582609955	
30	18	Male	3	prac	6	1496.77510214	0	0	0.466198205948	0	0.25	1	1.96456062417	
30	18	Male	3	prac	7	1498.25707507	1	1	0.67226600647	1	0.25	1	2.4956402683	
30	18	Male	3	prac	8	1499.93875909	1	1	0.622575044632	1	0.25	1	2.8517882497	
30	18	Male	3	prac	9	1501.573627	0	0	0.595697879791	0	0.25	1	2.26335899082	
30	18	Male	3	prac	10	1503.18489814	0	0	0.696453094482	0	0.25	1	2.25523028398	
30	18	Male	3	prac	11	1504.89013314	1	1	0.575206041336	1	0.25	1	2.79313346898	
30	18	Male	3	prac	12	1506.47798204	1	1	0.571403026581	1	0.25	1	2.7278418178	
30	18	Male	3	prac	13	1508.06573105	0	0	0.495668888092	0	0.25	1	2.23220834886	
30	18	Male	3	prac	14	1509.57121015	1	0	0.894150018692	1	0.25	0	2.44265058011	
30	18	Male	3	prac	15	1511.47646713	0	0	0.476937055588	0	0.25	1	2.01037210994	
30	18	Male	3	prac	16	1512.97010398	1	1	0.487208127975	1	0.25	1	2.6284834056	
30	18	Male	3	prac	17	1514.46358705	1	1	0.225781917572	1	0.25	1	3.13422152475	
30	18	Male	3	prac	18	1515.69871306	1	1	0.31066608429	1	0.25	1	2.65539787057	
30	18	Male	3	prac	19	1517.01582909	1	1	0.409552097321	1	0.25	1	2.78222511673	
30	18	Male	3	prac	20	1518.43901706	0	0	0.682408809662	0	0.25	1	1.92645444832	
