ID	gender	order	experiment	difficulty	falseAlarm	trial	condition	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	ACC	stimlength	RTor	RTand
11	Female	3	n/a	easy	n/a	1	NO AID	768.074604988	1	1	1.77106809616	1	0.25	1	2.41209934667	0.25	1.77106809616
11	Female	3	n/a	easy	n/a	2	NO AID	770.86156106	1	1	0.696116924286	1	0.25	1	2.97961309809	0.25	0.696116924286
11	Female	3	n/a	easy	n/a	3	NO AID	772.567364931	1	1	0.582362890244	1	0.25	1	2.70002340947	0.25	0.582362890244
11	Female	3	n/a	easy	n/a	4	NO AID	774.155569077	1	1	0.490154981613	1	0.25	1	2.91202961876	0.25	0.490154981613
11	Female	3	n/a	easy	n/a	5	NO AID	775.661492109	1	1	0.424262046814	1	0.25	1	2.6482943824	0.25	0.424262046814
11	Female	3	n/a	easy	n/a	6	NO AID	777.096745968	0	0	1.27702093124	0	0.25	1	2.30318305024	0.25	1.27702093124
11	Female	3	n/a	easy	n/a	7	NO AID	779.390851974	1	1	0.574932098389	1	0.25	1	2.76619859648	0.25	0.574932098389
11	Female	3	n/a	easy	n/a	8	NO AID	780.978996992	0	0	0.586781978607	0	0.25	1	2.33434322923	0.25	0.586781978607
11	Female	3	n/a	easy	n/a	9	NO AID	782.578971148	0	0	0.858822107315	0	0.25	1	2.4014768603	0.25	0.858822107315
11	Female	3	n/a	easy	n/a	10	NO AID	784.449509144	0	0	0.59629201889	1	0.25	1	2.12646685398	0.25	0.59629201889
11	Female	3	n/a	easy	n/a	11	NO AID	786.061151028	0	0	0.616647958755	0	0.25	1	1.92802878279	0.25	0.616647958755
11	Female	3	n/a	easy	n/a	12	NO AID	787.684711933	1	1	0.777125120163	1	0.25	1	2.75245312999	0.25	0.777125120163
11	Female	3	n/a	easy	n/a	13	NO AID	789.472901106	0	0	0.612925052643	0	0.25	1	1.86721890004	0.25	0.612925052643
11	Female	3	n/a	easy	n/a	14	NO AID	791.096368074	0	0	0.909463167191	0	0.25	1	2.15224887571	0.25	0.909463167191
11	Female	3	n/a	easy	n/a	15	NO AID	793.014023066	1	1	0.575803995132	1	0.25	1	2.69983522418	0.25	0.575803995132
11	Female	3	n/a	easy	n/a	16	NO AID	794.602251053	1	1	0.467581987381	1	0.25	1	2.99333006682	0.25	0.467581987381
11	Female	3	n/a	easy	n/a	17	NO AID	796.084550142	1	1	0.609289169312	1	0.25	1	2.87372034999	0.25	0.609289169312
11	Female	3	n/a	easy	n/a	18	NO AID	797.708142996	1	1	0.529724121094	1	0.25	1	2.9165003752	0.25	0.529724121094
11	Female	3	n/a	easy	n/a	19	NO AID	799.249249935	1	1	0.764621019363	1	0.25	1	2.79471865204	0.25	0.764621019363
11	Female	3	n/a	easy	n/a	20	NO AID	801.025670052	1	1	0.636188030243	1	0.25	1	2.76181263609	0.25	0.636188030243
11	Female	3	n/a	easy	n/a	21	NO AID	802.672675133	1	1	0.565217971802	1	0.25	1	3.0351852641	0.25	0.565217971802
11	Female	3	n/a	easy	n/a	22	NO AID	804.249033928	0	0	0.668867111206	0	0.25	1	2.13635065859	0.25	0.668867111206
11	Female	3	n/a	easy	n/a	23	NO AID	805.931473017	1	1	0.802487850189	1	0.25	1	2.78555374116	0.25	0.802487850189
11	Female	3	n/a	easy	n/a	24	NO AID	807.743288994	0	0	0.606652021408	0	0.25	1	2.19850514154	0.25	0.606652021408
11	Female	3	n/a	easy	n/a	25	NO AID	809.366622925	0	0	0.711288928986	0	0.25	1	2.1915080041	0.25	0.711288928986
