ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
46	18	Female	3	prac	1	112.832949877	0	0	0.911652088165	0	0.25	1	2.3559600581	
46	18	Female	3	prac	2	114.769444942	0	0	1.7742960453	0	0.25	1	2.29421753008	
46	18	Female	3	prac	3	117.568491936	1	1	0.692352056503	1	0.25	0	2.79377794312	
46	18	Female	3	prac	4	119.285631895	0	0	0.424676895142	0	0.25	1	2.18821959651	
46	18	Female	3	prac	5	120.744068861	1	1	0.566149950027	1	0.25	0	2.67563688858	
46	18	Female	3	prac	6	122.343379974	0	1	0.671844005585	1	0.25	1	2.24046402018	
46	18	Female	3	prac	7	124.037161827	1	1	0.657042980194	1	0.25	0	2.7341940688	
46	18	Female	3	prac	8	125.719009876	0	0	0.789244890213	0	0.25	1	2.42443666489	
46	18	Female	3	prac	9	127.530170918	0	0	1.01274609566	0	0.25	1	2.46981952515	
46	18	Female	3	prac	10	129.576586962	1	1	0.671711921692	1	0.25	0	2.9352827795	
46	18	Female	3	prac	11	131.270312786	0	0	0.892246961594	0	0.25	1	2.16646546233	
46	18	Female	3	prac	12	133.187434912	0	1	0.624803066254	1	0.25	1	2.16563524889	
46	18	Female	3	prac	13	134.845592976	0	0	0.704114198685	1	0.25	0	2.03595372339	
46	18	Female	3	prac	14	136.577455997	1	1	0.786313056946	1	0.25	0	2.92263948498	
46	18	Female	3	prac	15	138.385711908	0	0	1.18949103355	0	0.25	1	2.24409050658	
46	18	Female	3	prac	16	140.608763933	1	1	0.683530092239	1	0.25	0	2.57792017763	
46	18	Female	3	prac	17	142.325870991	1	1	0.950927972794	1	0.25	0	3.02379704887	
46	18	Female	3	prac	18	144.301784992	1	1	1.96518802643	1	0.25	0	2.63360059066	
46	18	Female	3	prac	19	147.289068937	0	0	0.483712911606	0	0.25	1	2.14026091736	
46	18	Female	3	prac	20	148.806278944	1	1	0.586270093918	1	0.25	0	3.10474404608	
46	18	Female	3	prac	1	943.525359869	1	0	1.01916193962	0	0.25	0	2.85699656331	
46	18	Female	3	prac	2	945.552235842	0	0	1.60825204849	0	0.25	1	2.24070627382	
46	18	Female	3	prac	3	948.175038815	1	1	0.665426969528	1	0.25	1	3.07084135059	
46	18	Female	3	prac	4	949.856688976	0	0	0.679850101471	0	0.25	1	2.0123660589	
46	18	Female	3	prac	5	951.550311804	0	0	0.58620095253	0	0.25	1	2.19235244144	
46	18	Female	3	prac	6	953.150130987	0	0	0.434413909912	0	0.25	1	2.14812176768	
46	18	Female	3	prac	7	954.596691847	0	0	0.467916965485	0	0.25	1	2.33348599594	
46	18	Female	3	prac	8	956.07849288	0	1	0.594082117081	0	0.25	0	2.09548032597	
46	18	Female	3	prac	9	957.689866781	0	0	0.198687076569	0	0.25	1	2.37135613253	
46	18	Female	3	prac	10	958.901257992	0	0	0.539351940155	0	0.25	1	2.09620484684	
46	18	Female	3	prac	11	960.453584909	0	0	0.3629758358	0	0.25	1	2.16421717738	
46	18	Female	3	prac	12	961.82978797	0	0	0.218828201294	0	0.25	1	2.11571390709	
46	18	Female	3	prac	13	963.064647913	1	0	0.231953859329	1	0.25	0	2.77217186057	
46	18	Female	3	prac	14	964.311315775	1	1	0.43327999115	1	0.25	1	2.73433118866	
46	18	Female	3	prac	15	965.757963896	1	1	0.522668123245	1	0.25	1	3.03292089599	
46	18	Female	3	prac	16	967.298581839	0	0	0.590023994446	0	0.25	1	1.71596522686	
46	18	Female	3	prac	17	968.898241997	1	1	0.494417905807	1	0.25	1	2.84682306663	
46	18	Female	3	prac	18	970.403556824	0	1	0.613084793091	0	0.25	0	2.46156442174	
46	18	Female	3	prac	19	972.026597977	0	0	0.542070150375	0	0.25	1	2.01508339053	
46	18	Female	3	prac	20	973.579175949	1	1	0.557502985001	1	0.25	1	2.77331780287	
