ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
10	20	Female	2	prac	1	310.312031984	0	0	2.43916010857	0	0.25	1	2.24525432732	
10	20	Female	2	prac	2	313.775993109	0	0	1.83661794662	0	0.25	1	2.02466663596	
10	20	Female	2	prac	3	316.646497965	1	1	3.09277915955	1	0.25	0	2.81623555449	
10	20	Female	2	prac	4	320.764075041	0	0	1.40167880058	0	0.25	1	2.01342820546	
10	20	Female	2	prac	5	323.199423075	0	0	1.69271278381	0	0.25	1	2.09325715847	
10	20	Female	2	prac	6	325.916898966	1	1	0.822335004807	1	0.25	0	2.58259456755	
10	20	Female	2	prac	7	327.763864994	1	1	1.03411793709	1	0.25	0	2.72671174099	
10	20	Female	2	prac	8	329.822746038	1	0	1.11641693115	0	0.25	0	2.73145676342	
10	20	Female	2	prac	9	331.963870049	0	0	1.55163621902	0	0.25	1	2.23242033106	
10	20	Female	2	prac	10	334.540354967	0	0	1.01048493385	0	0.25	1	2.31468610881	
10	20	Female	2	prac	11	336.575542927	0	0	2.25990700722	0	0.25	1	2.16497407202	
10	20	Female	2	prac	12	339.869606018	1	1	1.0461499691	1	0.25	0	2.6687910896	
10	20	Female	2	prac	13	341.940123081	1	1	0.775640010834	1	0.25	0	2.87088341704	
10	20	Female	2	prac	14	343.74012804	1	1	0.657562017441	1	0.25	0	2.83260660112	
10	20	Female	2	prac	15	345.422457933	1	1	0.869336128235	1	0.25	0	2.99257502504	
10	20	Female	2	prac	16	347.316513062	0	0	0.97533416748	0	0.25	1	2.29321954289	
10	20	Female	2	prac	17	349.316461086	1	1	2.17547392845	1	0.25	0	2.56218002052	
10	20	Female	2	prac	18	352.516551971	0	0	1.51886487007	0	0.25	1	2.20531722063	
10	20	Female	2	prac	19	355.069442034	1	1	0.810444116592	1	0.25	0	2.70104989109	
10	20	Female	2	prac	20	356.904607058	1	0	1.1752281189	0	0.25	0	2.93664428237	
10	20	Female	2	prac	1	1436.693959	0	0	1.29907298088	0	0.25	1	2.20247500398	
10	20	Female	2	prac	2	1439.00482392	0	0	0.732244968414	0	0.25	1	1.91844477608	
10	20	Female	2	prac	3	1440.74580812	0	0	4.0633161068	0	0.25	1	2.13496364675	
10	20	Female	2	prac	4	1445.81642509	1	1	2.00878095627	1	0.25	1	2.62826657743	
10	20	Female	2	prac	5	1448.83992505	0	0	2.44929409027	0	0.25	1	2.08717534201	
10	20	Female	2	prac	6	1452.29863906	1	1	2.41461205482	1	0.25	1	2.84782978261	
10	20	Female	2	prac	7	1455.72207594	0	0	0.727154970169	0	0.25	1	2.01935307308	
10	20	Female	2	prac	8	1457.46323299	1	1	0.593939065933	1	0.25	1	3.08353892193	
10	20	Female	2	prac	9	1459.063133	1	0	0.570040225983	1	0.25	0	2.79935492092	
10	20	Female	2	prac	10	1460.63962793	0	0	0.561550855637	0	0.25	1	2.18340188561	
10	20	Female	2	prac	11	1462.21599793	0	0	0.777189970016	0	0.25	1	2.20668326404	
10	20	Female	2	prac	12	1464.00431013	0	0	1.06886601448	0	0.25	1	2.1404252168	
10	20	Female	2	prac	13	1466.08651805	1	1	0.754775047302	1	0.25	1	2.87165227786	
10	20	Female	2	prac	14	1467.85135198	0	0	0.661864042282	0	0.25	1	2.4026837208	
10	20	Female	2	prac	15	1469.52183604	1	1	0.519471883774	1	0.25	1	2.86945441088	
10	20	Female	2	prac	16	1471.05124903	0	0	0.638044834137	0	0.25	1	2.28276328496	
10	20	Female	2	prac	17	1472.69820094	1	1	0.423051118851	1	0.25	1	2.98826564368	
10	20	Female	2	prac	18	1474.13334608	0	1	1.16392111778	0	0.25	0	2.40463073037	
10	20	Female	2	prac	19	1476.31000996	1	1	0.779345989227	1	0.25	1	2.90376542558	
10	20	Female	2	prac	20	1478.09819698	0	0	0.591084003448	0	0.25	1	2.4262486663	
