ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
34	18	Female	2	prac	1	251.591925144	1	0	6.02337598801	1	0.25	1	2.8250597951	
34	18	Female	2	prac	2	258.637236118	1	0	2.20059204102	1	0.25	1	2.88025406238	
34	18	Female	2	prac	3	261.859548092	1	1	1.44524908066	1	0.25	0	2.81478992682	
34	18	Female	2	prac	4	264.329797029	1	1	1.98580884933	0	0.25	1	2.52823037052	
34	18	Female	2	prac	5	267.34050107	0	0	2.22443795204	0	0.25	1	2.1909083104	
34	18	Female	2	prac	6	270.601252079	1	1	1.34795403481	1	0.25	0	3.03742852262	
34	18	Female	2	prac	7	272.976972103	1	0	2.347645998	1	0.25	1	2.76179497107	
34	18	Female	2	prac	8	276.352496147	0	0	2.07997322083	0	0.25	1	2.26087340146	
34	18	Female	2	prac	9	279.454523087	1	0	1.63303112984	1	0.25	1	2.82246129572	
34	18	Female	2	prac	10	282.112436056	1	0	0.951066970825	1	0.25	1	2.86423768627	
34	18	Female	2	prac	11	284.08833003	0	0	1.37728595734	0	0.25	1	2.03385930428	
34	18	Female	2	prac	12	286.487615108	1	0	2.45639300346	1	0.25	1	2.5475312027	
34	18	Female	2	prac	13	289.968907118	0	0	3.81209778786	0	0.25	1	2.07965025184	
34	18	Female	2	prac	14	294.817392111	0	0	1.51256799698	0	0.25	1	2.28301469169	
34	18	Female	2	prac	15	297.354974031	0	0	0.82475399971	0	0.25	1	2.02043484956	
34	18	Female	2	prac	16	299.213165998	0	1	1.00980806351	0	0.25	0	2.52670187527	
34	18	Female	2	prac	17	301.247480154	0	1	3.35057806969	0	0.25	0	2.44768443495	
34	18	Female	2	prac	18	305.626019001	0	0	0.962592124939	0	0.25	1	2.05456519884	
34	18	Female	2	prac	19	307.610675097	1	0	1.20963287354	1	0.25	1	2.75030957399	
34	18	Female	2	prac	20	309.845225096	1	0	0.93921995163	1	0.25	1	2.61950237865	
34	18	Female	2	prac	1	1323.71705317	1	1	3.11491084099	1	0.25	1	2.9271432341	
34	18	Female	2	prac	2	1327.84051204	1	1	0.775544166565	1	0.25	1	3.04205714576	
34	18	Female	2	prac	3	1329.62805104	1	1	0.916015148163	1	0.25	1	2.9324291845	
34	18	Female	2	prac	4	1331.55859804	1	0	1.14548707008	1	0.25	0	2.62586652163	
34	18	Female	2	prac	5	1333.70910001	0	0	0.867001056671	0	0.25	1	2.18465267357	
34	18	Female	2	prac	6	1335.59104514	1	1	0.745074033737	1	0.25	1	2.87972517048	
34	18	Female	2	prac	7	1337.34337306	1	1	0.648734092712	1	0.25	1	2.77840883067	
34	18	Female	2	prac	8	1339.00161409	0	0	0.846500873566	0	0.25	1	2.30478107874	
34	18	Female	2	prac	9	1340.85994506	0	0	0.620157003403	0	0.25	1	2.04840542608	
34	18	Female	2	prac	10	1342.4948101	1	0	2.64134120941	1	0.25	0	2.60278253518	
34	18	Female	2	prac	11	1346.15241504	0	0	1.0557539463	0	0.25	1	2.46009543451	
34	18	Female	2	prac	12	1348.222368	1	1	0.561810016632	1	0.25	1	2.7628039864	
34	18	Female	2	prac	13	1349.79866099	0	0	0.697530984879	0	0.25	1	2.21529192915	
34	18	Female	2	prac	14	1351.50408006	0	1	1.02413797379	0	0.25	0	2.45454722411	
34	18	Female	2	prac	15	1353.53850603	1	1	1.13373708725	1	0.25	1	2.8490168624	
34	18	Female	2	prac	16	1355.679106	0	0	0.801105976105	0	0.25	1	2.14939167557	
34	18	Female	2	prac	17	1357.49042511	0	0	2.62979888916	0	0.25	1	2.39756454952	
34	18	Female	2	prac	18	1361.13624096	0	0	0.527970075607	0	0.25	1	2.03697364446	
34	18	Female	2	prac	19	1362.67691016	1	1	0.747298002243	1	0.25	1	2.59648369499	
34	18	Female	2	prac	20	1364.4411571	1	1	0.95107793808	1	0.25	1	2.78670342575	
