ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
54	19	Female	3	prac	1	325.305891037	1	1	1.63575720787	1	0.25	0	2.72449700785	
54	19	Female	3	prac	2	327.977849007	1	0	1.50108098984	1	0.25	1	2.87654560806	
54	19	Female	3	prac	3	330.503622055	1	0	0.927634000778	1	0.25	1	2.84339602645	
54	19	Female	3	prac	4	332.456092119	0	0	0.974586009979	0	0.25	1	2.35654848376	
54	19	Female	3	prac	5	334.455363989	0	0	0.868870019913	0	0.25	1	2.32935111334	
54	19	Female	3	prac	6	336.34879303	0	0	0.657290220261	0	0.25	1	2.19653977714	
54	19	Female	3	prac	7	338.03074193	0	0	0.624941110611	0	0.25	1	2.22513146975	
54	19	Female	3	prac	8	339.689111948	0	0	0.715941905975	0	0.25	1	2.00272650512	
54	19	Female	3	prac	9	341.429752111	0	1	0.833567857742	0	0.25	0	2.29571307561	
54	19	Female	3	prac	10	343.287950039	1	1	0.742681980133	1	0.25	0	2.72385296082	
54	19	Female	3	prac	11	345.06400609	1	0	0.880554199219	1	0.25	1	2.59583220857	
54	19	Female	3	prac	12	346.972064972	0	0	1.10127902031	1	0.25	0	2.26401060604	
54	19	Female	3	prac	13	349.098037958	1	1	1.23346710205	1	0.25	0	2.7115435211	
54	19	Female	3	prac	14	351.359171152	1	0	0.760031938553	0	0.25	0	2.62891525572	
54	19	Female	3	prac	15	353.146835089	0	0	1.24233913422	0	0.25	1	2.22958794754	
54	19	Female	3	prac	16	355.413869143	0	0	0.73944401741	0	0.25	1	2.20964581378	
54	19	Female	3	prac	17	357.177978039	0	0	0.915885925293	0	0.25	1	2.15367452141	
54	19	Female	3	prac	18	359.118575096	1	1	1.05704808235	1	0.25	0	3.02960624304	
54	19	Female	3	prac	19	361.203228951	1	1	0.668830156326	1	0.25	0	3.23337048589	
54	19	Female	3	prac	20	362.893980026	1	1	0.715914011002	1	0.25	0	2.87764690641	
54	19	Female	3	prac	1	1192.64595604	1	1	1.50710105896	1	0.25	1	2.89298192024	
54	19	Female	3	prac	2	1195.16184115	1	1	0.551214933395	1	0.25	1	2.84421158501	
54	19	Female	3	prac	3	1196.72609305	1	1	0.45094704628	0	0.25	1	2.76118430067	
54	19	Female	3	prac	4	1198.18440008	0	1	0.360641002655	0	0.25	0	2.42613546295	
54	19	Female	3	prac	5	1199.56046915	1	0	0.656580924988	1	0.25	0	2.78381394782	
54	19	Female	3	prac	6	1201.23059511	0	0	0.706488132477	1	0.25	1	2.33214631997	
54	19	Female	3	prac	7	1202.94773793	0	0	0.565371990204	0	0.25	1	2.28835775088	
54	19	Female	3	prac	8	1204.52382708	1	1	0.557290077209	1	0.25	1	2.8898510361	
54	19	Female	3	prac	9	1206.08797193	1	0	0.673197031021	1	0.25	0	2.82655851353	
54	19	Female	3	prac	10	1207.76982307	1	0	0.543256044388	1	0.25	0	2.7966284785	
54	19	Female	3	prac	11	1209.32223415	0	0	0.886887073517	0	0.25	1	2.18637579036	
54	19	Female	3	prac	12	1211.21584606	1	1	0.425276041031	1	0.25	1	2.78310361867	
54	19	Female	3	prac	13	1212.65070915	1	0	1.1904399395	1	0.25	0	2.82279554522	
54	19	Female	3	prac	14	1214.85001898	0	0	0.559102058411	0	0.25	1	2.34895592893	
54	19	Female	3	prac	15	1216.42603493	0	0	0.767112016678	0	0.25	1	2.23674028102	
54	19	Female	3	prac	16	1218.20196295	0	0	0.703193902969	0	0.25	1	2.0665713383	
54	19	Female	3	prac	17	1219.91906905	1	1	0.618067026138	1	0.25	1	2.80643775857	
54	19	Female	3	prac	18	1221.55378795	1	1	0.911405086517	1	0.25	1	2.59133656252	
54	19	Female	3	prac	19	1223.48278594	0	0	0.694397926331	0	0.25	1	2.27599375542	
54	19	Female	3	prac	20	1225.18806911	0	0	0.461119174957	0	0.25	1	2.01483837223	
