ID	gender	order	experiment	difficulty	falseAlarm	trial	condition	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	ACC	stimlength	RTor	RTand
40	Male	1	0	easy	low	1	REJECT	531.968437195	0	0	0.925455093384	0	0.25	1	2.22471354588	0.25	0.925455093384
40	Male	1	0	easy	low	2	REJECT	533.915785074	1	1	0.704079151154	1	0.25	0	2.6834120234	0.25	0.704079151154
40	Male	1	0	easy	low	3	REJECT	535.647706032	1	1	0.72745513916	1	0.25	0	3.20895478753	0.25	0.72745513916
40	Male	1	0	easy	low	4	REJECT	537.396888018	1	1	0.671889066696	1	0.25	0	2.55278879103	0.25	0.671889066696
40	Male	1	0	easy	low	5	REJECT	539.090672016	0	0	0.939332008362	0	0.25	1	2.26378506899	0.25	0.939332008362
40	Male	1	0	easy	low	6	REJECT	541.057684183	1	1	0.730684041977	1	0.25	0	2.72081572059	0.25	0.730684041977
40	Male	1	0	easy	low	7	REJECT	542.819041014	1	1	0.774618148804	1	0.25	0	2.90877125003	0.25	0.774618148804
40	Male	1	0	easy	low	8	REJECT	544.618432999	0	0	0.730513095856	0	0.25	1	2.14512191667	0.25	0.730513095856
40	Male	1	0	easy	low	9	REJECT	546.37093401	0	0	0.645104885101	0	0.25	1	2.30309297648	0.25	0.645104885101
40	Male	1	0	easy	low	10	REJECT	548.043615103	1	1	0.736572980881	1	0.25	0	2.81014871939	0.25	0.736572980881
40	Male	1	0	easy	low	11	REJECT	549.805104971	1	1	0.656939029694	1	0.25	0	2.70285923351	0.25	0.656939029694
40	Male	1	0	easy	low	12	REJECT	551.48685813	1	1	0.694536924362	1	0.25	0	2.99927817152	0.25	0.694536924362
40	Male	1	0	easy	low	13	REJECT	553.218615055	0	0	0.716122865677	0	0.25	1	2.29326215739	0.25	0.716122865677
40	Male	1	0	easy	low	14	REJECT	554.968187094	0	0	0.589617967606	0	0.25	1	2.36934900266	0.25	0.589617967606
40	Male	1	0	easy	low	15	REJECT	556.591207981	0	0	0.495273113251	0	0.25	1	2.1839672772	0.25	0.495273113251
40	Male	1	0	easy	low	16	REJECT	558.108373165	1	1	0.657126903534	1	0.25	0	3.00232994559	0.25	0.657126903534
40	Male	1	0	easy	low	17	REJECT	559.790224075	1	1	0.751178979874	1	0.25	0	2.7131302732	0.25	0.751178979874
40	Male	1	0	easy	low	18	REJECT	561.566248178	1	1	0.718805789948	1	0.25	0	2.93222519451	0.25	0.718805789948
40	Male	1	0	easy	low	19	REJECT	563.318632126	0	0	0.645291090012	0	0.25	1	2.30599585963	0.25	0.645291090012
40	Male	1	0	easy	low	20	REJECT	564.99151206	1	0	0.727680921555	0	0.25	0	2.73246303822	0.25	0.727680921555
40	Male	1	0	easy	low	21	REJECT	566.74103117	1	1	1.71559596062	1	0.25	0	2.64152250826	0.25	1.71559596062
40	Male	1	0	easy	low	22	REJECT	569.481486082	1	0	3.05943107605	1	0.25	1	2.43057881733	0.25	3.05943107605
40	Male	1	0	easy	low	23	REJECT	573.574313164	1	0	1.35100007057	1	0.25	1	2.8890997233	0.25	1.35100007057
40	Male	1	0	easy	low	24	REJECT	575.952964067	1	0	1.11284899712	1	0.25	1	2.51450458191	0.25	1.11284899712
40	Male	1	0	easy	low	25	REJECT	578.09344101	1	0	0.830669879913	1	0.25	1	3.16314976987	0.25	0.830669879913
40	Male	1	0	easy	low	26	REJECT	579.948960066	1	0	1.46848392487	1	0.25	1	2.77564696179	0.25	1.46848392487
40	Male	1	0	easy	low	27	REJECT	582.44503808	0	0	2.44195485115	0	0.25	1	2.12638420487	0.25	2.44195485115
40	Male	1	0	easy	low	28	REJECT	585.911864996	1	0	2.1271739006	1	0.25	1	3.04767647566	0.25	2.1271739006
40	Male	1	0	easy	low	29	REJECT	589.063749075	1	0	1.03619289398	1	0.25	1	2.75714388044	0.25	1.03619289398
40	Male	1	0	easy	low	30	REJECT	591.133568048	0	0	2.57425904274	0	0.25	1	1.91489284286	0.25	2.57425904274
40	Male	1	0	easy	low	31	REJECT	594.732712984	1	0	1.25969910622	1	0.25	1	2.98567713826	0.25	1.25969910622
40	Male	1	0	easy	low	32	REJECT	597.014225006	1	1	1.1510682106	0	0.25	1	2.83687623561	0.25	1.1510682106
40	Male	1	0	easy	low	33	REJECT	599.190136194	0	0	0.89533996582	0	0.25	1	2.04271370173	0.25	0.89533996582
40	Male	1	0	easy	low	34	REJECT	601.119023085	0	1	2.9973590374	0	0.25	0	2.33987440141	0.25	2.9973590374
40	Male	1	0	easy	low	35	REJECT	605.144221067	0	0	0.845100879669	0	0.25	1	2.16156080091	0.25	0.845100879669
40	Male	1	0	easy	low	36	REJECT	607.01137805	1	0	1.20080709457	1	0.25	1	2.84515601123	0.25	1.20080709457
40	Male	1	0	easy	low	37	REJECT	609.234210014	1	0	4.18842506409	1	0.25	1	2.8435413721	0.25	4.18842506409
40	Male	1	0	easy	low	38	REJECT	614.456148148	1	0	1.06863284111	1	0.25	1	2.62437440795	0.25	1.06863284111
40	Male	1	0	easy	low	39	REJECT	616.549435139	1	0	1.22165179253	1	0.25	1	2.81925243378	0.25	1.22165179253
40	Male	1	0	easy	low	40	REJECT	618.795761108	0	0	1.62476801872	0	0.25	1	2.18096883685	0.25	1.62476801872
40	Male	1	0	easy	low	41	REJECT	623.344943047	1	0	1.73273897171	1	0.25	1	3.05347071017	0.25	1.73273897171
40	Male	1	0	easy	low	42	REJECT	626.099539995	0	0	0.915839910507	0	0.25	1	2.07359279494	0.25	0.915839910507
40	Male	1	0	easy	low	43	REJECT	628.040147066	0	0	0.789321899414	0	0.25	1	1.98848663026	0.25	0.789321899414
40	Male	1	0	easy	low	44	REJECT	629.851217985	0	0	1.03354907036	0	0.25	1	2.44765796573	0.25	1.03354907036
40	Male	1	0	easy	low	45	REJECT	631.909331083	0	0	0.704303979874	0	0.25	1	2.38020662052	0.25	0.704303979874
40	Male	1	0	easy	low	46	REJECT	633.641071081	0	0	0.701416015625	0	0.25	1	2.32574159849	0.25	0.701416015625
40	Male	1	0	easy	low	47	REJECT	635.369982004	1	0	1.11305308342	1	0.25	1	2.78827629629	0.25	1.11305308342
40	Male	1	0	easy	low	48	REJECT	637.51058507	1	0	1.02183389664	1	0.25	1	2.81330426992	0.25	1.02183389664
40	Male	1	0	easy	low	49	REJECT	639.554031134	1	0	3.33882212639	1	0.25	1	2.85782650225	0.25	3.33882212639
40	Male	1	0	easy	low	50	REJECT	643.917754173	1	0	0.915755987167	1	0.25	1	2.68684321632	0.25	0.915755987167
40	Male	1	0	easy	low	51	REJECT	645.858364105	1	0	0.821603059769	1	0.25	1	2.78324247658	0.25	0.821603059769
40	Male	1	0	easy	low	52	REJECT	647.70746398	1	0	0.907363891602	1	0.25	1	2.73257344861	0.25	0.907363891602
40	Male	1	0	easy	low	53	REJECT	649.645451069	0	0	0.927459955215	1	0.25	0	2.1549924783	0.25	0.927459955215
40	Male	1	0	easy	low	54	REJECT	651.597496033	0	0	0.895539045334	0	0.25	1	2.26024910249	0.25	0.895539045334
40	Male	1	0	easy	low	55	REJECT	653.526365042	0	0	0.715991020203	0	0.25	1	2.22839855358	0.25	0.715991020203
40	Male	1	0	easy	low	56	REJECT	655.266937971	1	1	3.38010692596	1	0.25	0	2.6584881679	0.25	3.38010692596
40	Male	1	0	easy	low	57	REJECT	659.677463055	0	0	0.939482927322	0	0.25	1	2.35982377635	0.25	0.939482927322
40	Male	1	0	easy	low	58	REJECT	661.644338131	0	0	0.554535150528	0	0.25	1	2.38733563794	0.25	0.554535150528
40	Male	1	0	easy	low	59	REJECT	663.229429007	1	1	1.5774409771	1	0.25	0	2.79722019576	0.25	1.5774409771
40	Male	1	0	easy	low	60	REJECT	665.843422174	1	1	0.818685054779	1	0.25	0	3.06458685843	0.25	0.818685054779
40	Male	1	0	easy	low	61	REJECT	667.689682007	0	0	0.654300928116	0	0.25	1	2.14615378244	0.25	0.654300928116
40	Male	1	0	easy	low	62	REJECT	669.368522167	1	0	1.11612701416	1	0.25	1	2.58628724809	0.25	1.11612701416
40	Male	1	0	easy	low	63	REJECT	671.511974096	0	0	0.607334852219	0	0.25	1	2.42913250558	0.25	0.607334852219
40	Male	1	0	easy	low	64	REJECT	673.144327164	0	0	0.557028055191	0	0.25	1	2.37926812547	0.25	0.557028055191
40	Male	1	0	easy	low	65	REJECT	674.731750011	1	0	0.810044050217	1	0.25	1	2.60584449138	0.25	0.810044050217
40	Male	1	0	easy	low	66	REJECT	676.566467047	1	0	0.715990066528	1	0.25	1	2.87988883043	0.25	0.715990066528
40	Male	1	0	easy	low	67	REJECT	678.307228088	0	0	0.880504846573	0	0.25	1	2.39301356018	0.25	0.880504846573
40	Male	1	0	easy	low	68	REJECT	680.215269089	0	0	0.772000789642	0	0.25	1	2.07860388703	0.25	0.772000789642
40	Male	1	0	easy	low	69	REJECT	682.01197505	1	1	1.06871199608	1	0.25	0	2.91143936928	0.25	1.06871199608
40	Male	1	0	easy	low	70	REJECT	684.105252981	1	0	1.3187789917	1	0.25	1	2.7121654888	0.25	1.3187789917
40	Male	1	0	easy	low	71	REJECT	686.504914045	0	0	1.20387887955	0	0.25	1	2.25835958578	0.25	1.20387887955
40	Male	1	0	easy	low	72	REJECT	688.739210129	1	0	1.35112500191	1	0.25	1	2.50263528215	0.25	1.35112500191
40	Male	1	0	easy	low	73	REJECT	691.117990971	1	0	0.771795988083	1	0.25	1	2.79751302438	0.25	0.771795988083
40	Male	1	0	easy	low	74	REJECT	692.914625168	0	0	0.986307144165	0	0.25	1	2.24646373075	0.25	0.986307144165
40	Male	1	0	easy	low	75	REJECT	694.925578117	0	0	0.774770975113	0	0.25	1	2.14042989869	0.25	0.774770975113
40	Male	1	0	easy	low	76	REJECT	696.724956989	1	1	0.892541885376	1	0.25	0	2.76511180579	0.25	0.892541885376
40	Male	1	0	easy	low	77	REJECT	698.642292023	0	0	0.715795993805	0	0.25	1	2.26063438973	0.25	0.715795993805
40	Male	1	0	easy	low	78	REJECT	700.383012056	0	0	0.730416059494	0	0.25	1	2.12495650169	0.25	0.730416059494
40	Male	1	0	easy	low	79	REJECT	702.135388136	0	0	0.730419158936	0	0.25	1	1.98626768753	0.25	0.730419158936
40	Male	1	0	easy	low	80	REJECT	703.887454987	1	0	1.18659901619	1	0.25	1	2.44438551088	0.25	1.18659901619
40	Male	1	0	easy	low	81	REJECT	707.929481983	0	0	1.09935808182	0	0.25	1	2.16612722933	0.25	1.09935808182
40	Male	1	0	easy	low	82	REJECT	710.062398195	0	0	0.730443954468	0	0.25	1	2.01497871677	0.25	0.730443954468
40	Male	1	0	easy	low	83	REJECT	711.814725161	0	0	1.22155117989	0	0.25	1	1.97426908327	0.25	1.22155117989
40	Male	1	0	easy	low	84	REJECT	714.061295986	0	0	0.692117929459	0	0.25	1	1.81808118359	0.25	0.692117929459
40	Male	1	0	easy	low	85	REJECT	715.778060198	0	0	0.633600950241	0	0.25	1	2.25857367993	0.25	0.633600950241
40	Male	1	0	easy	low	86	REJECT	717.436338186	0	0	0.516101121902	0	0.25	1	1.90832185368	0.25	0.516101121902
40	Male	1	0	easy	low	87	REJECT	718.977251053	1	0	1.37739992142	1	0.25	1	2.89906821241	0.25	1.37739992142
40	Male	1	0	easy	low	88	REJECT	721.376314163	1	0	1.11842799187	1	0.25	1	2.74486014188	0.25	1.11842799187
40	Male	1	0	easy	low	89	REJECT	723.528550148	1	0	1.84522390366	1	0.25	1	2.59056610431	0.25	1.84522390366
40	Male	1	0	easy	low	90	REJECT	726.398413181	0	0	0.554196119308	0	0.25	1	2.08225791102	0.25	0.554196119308
40	Male	1	0	easy	low	91	REJECT	727.974344015	0	0	0.574880123138	0	0.25	1	2.23836833852	0.25	0.574880123138
40	Male	1	0	easy	low	92	REJECT	729.574131966	0	0	0.612797021866	0	0.25	1	2.08308947958	0.25	0.612797021866
40	Male	1	0	easy	low	93	REJECT	731.208662033	1	0	0.951276063919	1	0.25	1	2.63622641279	0.25	0.951276063919
