ID	gender	order	experiment	difficulty	falseAlarm	trial	condition	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	ACC	stimlength	RTor	RTand
1	Female	1	n/a	easy	n/a	1	NO AID	790.25376606	0	0	1.2990500927	0	0.25	1	2.02021414778	0.25	1.2990500927
1	Female	1	n/a	easy	n/a	2	NO AID	792.568387032	1	1	0.808440923691	1	0.25	1	2.86858138653	0.25	0.808440923691
1	Female	1	n/a	easy	n/a	3	NO AID	794.391855001	1	1	0.632968902588	1	0.25	1	2.83074880485	0.25	0.632968902588
1	Female	1	n/a	easy	n/a	4	NO AID	796.038589954	1	1	0.706238985062	1	0.25	1	2.74661641039	0.25	0.706238985062
1	Female	1	n/a	easy	n/a	5	NO AID	797.756448984	1	1	0.700402975082	1	0.25	1	2.96531128917	0.25	0.700402975082
1	Female	1	n/a	easy	n/a	6	NO AID	799.462229013	1	1	0.738615036011	1	0.25	1	2.78764459918	0.25	0.738615036011
1	Female	1	n/a	easy	n/a	7	NO AID	801.215274096	1	1	0.705574989319	1	0.25	1	2.77977970877	0.25	0.705574989319
1	Female	1	n/a	easy	n/a	8	NO AID	802.932880163	0	0	0.819982051849	0	0.25	1	2.0848835658	0.25	0.819982051849
1	Female	1	n/a	easy	n/a	9	NO AID	804.768164158	0	0	1.02470088005	0	0.25	1	2.15678944034	0.25	1.02470088005
1	Female	1	n/a	easy	n/a	10	NO AID	806.803210974	0	0	0.717813014984	0	0.25	1	2.39609494366	0.25	0.717813014984
1	Female	1	n/a	easy	n/a	11	NO AID	808.532612085	0	0	0.972356081009	0	0.25	1	2.01096231624	0.25	0.972356081009
1	Female	1	n/a	easy	n/a	12	NO AID	810.520795107	0	0	0.848129987717	0	0.25	1	2.08073572381	0.25	0.848129987717
1	Female	1	n/a	easy	n/a	13	NO AID	812.379821062	1	1	0.693103790283	1	0.25	1	2.82953001312	0.25	0.693103790283
1	Female	1	n/a	easy	n/a	14	NO AID	814.085654974	0	0	0.827280044556	0	0.25	1	2.07907804244	0.25	0.827280044556
