ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
33	18	Female	1	prac	1	190.74912405	0	0	1.8349840641	0	0.25	1	2.25626129354	
33	18	Female	1	prac	2	193.591784	0	0	0.864369153976	0	0.25	1	2.2865996852	
33	18	Female	1	prac	3	195.473617077	1	1	0.814502954483	1	0.25	1	2.89285042149	
33	18	Female	1	prac	4	197.296534061	1	1	0.79957985878	1	0.25	1	2.92218479987	
33	18	Female	1	prac	5	199.107857943	1	1	0.652276992798	1	0.25	1	2.67452209064	
33	18	Female	1	prac	6	200.766587973	1	1	0.537564992905	1	0.25	1	2.83176160932	
33	18	Female	1	prac	7	202.318603992	0	0	0.513571023941	0	0.25	1	1.98937177876	
33	18	Female	1	prac	8	203.847651958	0	1	0.504529953003	0	0.25	0	2.26460386455	
33	18	Female	1	prac	9	205.364831924	1	1	0.915381908417	1	0.25	1	2.97779887614	
33	18	Female	1	prac	10	207.293597937	0	0	0.722601890564	0	0.25	1	2.26585116721	
33	18	Female	1	prac	11	209.022528887	1	0	0.93767786026	1	0.25	0	2.69966216139	
33	18	Female	1	prac	12	210.974905014	0	0	0.897336006165	0	0.25	1	2.27310406207	
33	18	Female	1	prac	13	212.880157948	1	1	0.760102987289	1	0.25	1	2.89563292419	
33	18	Female	1	prac	14	214.656159878	1	1	0.992119073868	1	0.25	1	2.87233027726	
33	18	Female	1	prac	15	216.655529022	1	0	0.992767095566	1	0.25	0	2.79992206329	
33	18	Female	1	prac	16	218.654999018	0	0	0.665316820145	0	0.25	1	2.26804472371	
33	18	Female	1	prac	17	220.336780071	0	0	0.943505048752	0	0.25	1	2.29805245063	
33	18	Female	1	prac	18	222.289139986	0	0	0.815164089203	0	0.25	1	2.38367311412	
33	18	Female	1	prac	19	224.112071991	1	1	0.768205881119	1	0.25	1	2.67295778546	
33	18	Female	1	prac	20	225.887965918	0	0	1.06436395645	0	0.25	1	2.2718144037	
33	18	Female	1	prac	1	1470.14832306	1	1	0.957019090652	1	0.25	0	2.7745418607	
33	18	Female	1	prac	2	1472.13853407	0	0	0.504187107086	0	0.25	1	2.01600669336	
33	18	Female	1	prac	3	1473.667449	1	1	0.61293387413	1	0.25	0	2.70163383412	
33	18	Female	1	prac	4	1475.30223799	1	0	1.13933801651	1	0.25	1	3.0069253876	
33	18	Female	1	prac	5	1477.46621585	0	0	0.633678913116	0	0.25	1	2.19769595878	
33	18	Female	1	prac	6	1479.12462807	0	0	0.52774310112	0	0.25	1	2.12313955721	
33	18	Female	1	prac	7	1480.68006992	1	1	1.18666315079	1	0.25	0	2.51462783501	
33	18	Female	1	prac	8	1482.89988303	0	0	0.765547037125	0	0.25	1	2.12899941359	
33	18	Female	1	prac	9	1484.69927406	0	0	0.598434925079	1	0.25	0	2.48013692314	
33	18	Female	1	prac	10	1486.32241201	1	0	0.833564043045	1	0.25	1	2.6815281046	
33	18	Female	1	prac	11	1488.18071485	0	0	0.707372903824	0	0.25	1	2.22511589766	
33	18	Female	1	prac	12	1489.9213779	0	0	0.671735048294	0	0.25	1	2.35121493782	
33	18	Female	1	prac	13	1491.61492085	1	1	0.707515954971	1	0.25	0	2.87747627565	
33	18	Female	1	prac	14	1493.35561085	0	0	0.910282850266	0	0.25	1	1.9566520996	
33	18	Female	1	prac	15	1495.29614401	0	0	0.739581108093	0	0.25	1	2.20227017136	
33	18	Female	1	prac	16	1497.06040001	1	0	0.837141990662	1	0.25	1	2.64363558684	
33	18	Female	1	prac	17	1498.93046308	0	0	0.557382106781	0	0.25	1	2.22391626233	
33	18	Female	1	prac	18	1500.51818085	0	0	0.554228067398	0	0.25	1	1.7003365842	
33	18	Female	1	prac	19	1502.0941689	0	0	0.530161857605	0	0.25	1	2.32211020386	
33	18	Female	1	prac	20	1503.65827203	0	0	0.574941158295	0	0.25	1	2.27755206467	
