ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
44	18	Female	4	prac	1	274.658977985	1	1	6.93404316902	1	0.25	0	2.73534046576	
44	18	Female	4	prac	2	282.629349947	1	0	1.4570338726	1	0.25	1	2.80418899871	
44	18	Female	4	prac	3	285.122720957	0	0	2.32435512543	0	0.25	1	2.23977037829	
44	18	Female	4	prac	4	288.471756935	0	1	1.8332669735	0	0.25	0	2.12784977473	
44	18	Female	4	prac	5	291.329760075	0	0	1.71562504768	0	0.25	1	2.15802445215	
44	18	Female	4	prac	6	294.070076942	0	0	2.13022398949	0	0.25	1	2.13088453499	
44	18	Female	4	prac	7	297.233922958	1	0	4.18542790413	1	0.25	1	2.93148917174	
44	18	Female	4	prac	8	302.444026947	1	0	1.6365070343	1	0.25	1	3.05656042156	
44	18	Female	4	prac	9	305.116691113	0	1	1.72746801376	1	0.25	1	2.45890578254	
44	18	Female	4	prac	10	307.865996122	0	0	1.83633708954	0	0.25	1	2.36334296852	
44	18	Female	4	prac	11	310.735690117	1	1	2.28009915352	1	0.25	0	2.54696116633	
44	18	Female	4	prac	12	314.040534019	1	0	1.09546589851	1	0.25	1	3.04003521842	
44	18	Female	4	prac	13	316.169431925	1	0	6.08500313759	1	0.25	1	2.70508578891	
44	18	Female	4	prac	14	323.2848351	0	1	1.0570628643	0	0.25	0	2.11927611285	
44	18	Female	4	prac	15	325.369431019	0	0	0.574298858643	0	0.25	1	2.2825869012	
44	18	Female	4	prac	16	326.980880022	1	0	6.04080581665	1	0.25	1	2.71854079397	
44	18	Female	4	prac	17	334.046473026	0	0	2.75255799294	0	0.25	1	1.96317381958	
44	18	Female	4	prac	18	337.836365938	0	0	3.46833300591	0	0.25	1	2.23404373429	
44	18	Female	4	prac	19	342.338050127	0	1	1.61257386208	1	0.25	1	2.27591370434	
44	18	Female	4	prac	20	344.972487926	0	0	1.45915293694	0	0.25	1	2.05037301984	
44	18	Female	4	prac	1	1540.63438702	0	0	10.3311469555	0	0.25	1	2.3173575233	
44	18	Female	4	prac	2	1551.97631192	1	1	1.04524421692	1	0.25	1	2.75098159115	
44	18	Female	4	prac	3	1554.03432512	0	0	1.14724707603	0	0.25	1	2.23244475479	
44	18	Female	4	prac	4	1556.19841409	1	0	1.84713983536	0	0.25	0	2.68367040732	
44	18	Female	4	prac	5	1559.0565021	1	0	1.3810801506	1	0.25	0	2.63696934767	
44	18	Female	4	prac	6	1561.44416499	1	0	0.92142701149	1	0.25	0	2.56008921529	
44	18	Female	4	prac	7	1563.37283897	0	1	0.696710109711	0	0.25	0	2.34295240996	
44	18	Female	4	prac	8	1565.07823706	1	0	0.407373189926	1	0.25	0	2.83017789033	
44	18	Female	4	prac	9	1566.50139713	1	1	1.29628896713	1	0.25	1	2.683856707	
44	18	Female	4	prac	10	1568.80644703	1	1	0.679162025452	1	0.25	1	2.74510076314	
44	18	Female	4	prac	11	1570.50020194	0	0	0.705430030823	0	0.25	1	2.33319149047	
44	18	Female	4	prac	12	1572.21733403	0	0	0.772329807281	0	0.25	1	1.94951949786	
44	18	Female	4	prac	13	1574.00494099	1	1	0.80072593689	1	0.25	1	2.97276877693	
44	18	Female	4	prac	14	1575.81627512	0	0	0.693408966064	0	0.25	1	2.30850745666	
44	18	Female	4	prac	15	1577.52159214	1	1	0.60409116745	1	0.25	1	3.04309844732	
44	18	Female	4	prac	16	1579.13304114	0	0	0.784715175629	1	0.25	1	2.3607723554	
44	18	Female	4	prac	17	1580.93241191	1	1	0.713304042816	1	0.25	1	2.97502305466	
44	18	Female	4	prac	18	1582.66117096	1	0	0.512539863586	1	0.25	0	2.67014107143	
44	18	Female	4	prac	19	1584.19023013	1	1	0.415534973145	1	0.25	1	2.53065715085	
44	18	Female	4	prac	20	1585.61333394	0	0	0.736403942108	0	0.25	1	2.24867094634	
