ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
13	19	Male	4	prac	1	462.272616148	1	1	1.30681610107	1	0.25	1	2.91391090892	
13	19	Male	4	prac	2	464.588353157	1	1	1.43114089966	1	0.25	1	2.89712948706	
13	19	Male	4	prac	3	467.035292149	0	0	0.632215976715	0	0.25	1	2.04894961927	
13	19	Male	4	prac	4	468.682265043	1	1	0.561223983765	1	0.25	1	3.00759023602	
13	19	Male	4	prac	5	470.258661032	1	1	3.29687595367	1	0.25	1	2.73234321881	
13	19	Male	4	prac	6	474.564587116	0	0	0.806995153427	0	0.25	1	1.980753243	
13	19	Male	4	prac	7	476.388001204	0	1	1.35154104233	0	0.25	0	2.51427177879	
13	19	Male	4	prac	8	478.752824068	0	0	0.946766853333	0	0.25	1	2.05323855074	
13	19	Male	4	prac	9	480.705535173	0	1	1.81808185577	0	0.25	0	2.23847956336	
13	19	Male	4	prac	10	483.540897131	0	1	1.34270501137	0	0.25	0	2.1770342396	
13	19	Male	4	prac	11	485.89362812	1	0	1.17404484749	1	0.25	0	2.80651087227	
13	19	Male	4	prac	12	488.082060099	0	0	1.81758594513	1	0.25	1	2.08978177895	
13	19	Male	4	prac	13	490.917209148	1	1	1.01442193985	1	0.25	1	2.81806099672	
13	19	Male	4	prac	14	492.940626144	1	1	0.79905295372	1	0.25	1	2.51819670301	
13	19	Male	4	prac	15	494.752413988	1	1	1.01921820641	1	0.25	1	2.88950126781	
13	19	Male	4	prac	16	496.787629128	0	0	0.624123811722	0	0.25	1	2.22375729071	
13	19	Male	4	prac	17	498.422883987	1	1	0.604848146439	1	0.25	1	2.92109888695	
13	19	Male	4	prac	18	500.034474134	1	1	0.513211965561	1	0.25	1	2.84515772742	
13	19	Male	4	prac	19	501.564017057	1	1	0.695677042007	1	0.25	1	2.65828812478	
13	19	Male	4	prac	20	503.26971817	0	1	0.437973022461	0	0.25	0	2.51142340132	
13	19	Male	4	prac	1	1854.52027416	1	0	3.32017707825	1	0.25	1	2.58352766778	
13	19	Male	4	prac	2	1858.86523604	1	1	1.31634998322	0	0.25	1	2.7810334693	
13	19	Male	4	prac	3	1861.20628405	1	0	1.50457501411	1	0.25	1	2.81818088025	
13	19	Male	4	prac	4	1863.73568702	1	0	0.939869880676	1	0.25	1	2.79461772061	
13	19	Male	4	prac	5	1865.70030212	0	0	0.704643011093	0	0.25	1	2.33927229138	
13	19	Male	4	prac	6	1867.42968607	1	1	1.74323797226	1	0.25	0	2.85440614595	
13	19	Male	4	prac	7	1870.20607305	0	0	0.892930984497	0	0.25	1	2.17766202639	
13	19	Male	4	prac	8	1872.1237762	0	0	0.751591920853	0	0.25	1	2.21870180374	
13	19	Male	4	prac	9	1873.90012598	1	0	1.21047210693	1	0.25	1	2.83188659628	
13	19	Male	4	prac	10	1876.13528705	1	0	0.587090969086	1	0.25	1	2.90635352336	
13	19	Male	4	prac	11	1877.74710011	1	0	0.681146144867	1	0.25	1	2.63115914387	
13	19	Male	4	prac	12	1879.45300698	1	0	0.598783969879	1	0.25	1	2.71174968844	
13	19	Male	4	prac	13	1881.07651615	0	0	0.87157702446	0	0.25	1	2.11508286869	
13	19	Male	4	prac	14	1882.98232007	1	0	1.10463690758	1	0.25	1	2.55467691589	
13	19	Male	4	prac	15	1885.1117332	1	0	1.42220497131	1	0.25	1	2.65231158726	
13	19	Male	4	prac	16	1887.55868602	1	0	0.589462041855	1	0.25	1	2.76944229881	
13	19	Male	4	prac	17	1889.18220401	1	0	0.539838075638	1	0.25	1	3.00988844733	
13	19	Male	4	prac	18	1890.74685597	0	0	1.82231593132	0	0.25	1	2.34459995595	
13	19	Male	4	prac	19	1893.59377217	1	0	3.09286212921	1	0.25	1	2.89302748285	
13	19	Male	4	prac	20	1897.711447	0	0	0.660499095917	0	0.25	1	2.20988052676	
