ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
17	20	Female	1	prac	1	296.124160051	1	1	6.17899107933	1	0.25	1	2.61778530583	
17	20	Female	1	prac	2	303.318907022	0	0	1.3282930851	0	0.25	1	2.41909908158	
17	20	Female	1	prac	3	305.66001606	0	0	0.939153194427	0	0.25	1	2.05566349887	
17	20	Female	1	prac	4	307.612880945	0	0	0.698292016983	0	0.25	1	1.88727579262	
17	20	Female	1	prac	5	309.318608999	0	0	1.20859909058	0	0.25	1	2.10119240256	
17	20	Female	1	prac	6	311.541961908	0	0	1.51326203346	0	0.25	1	2.17181976584	
17	20	Female	1	prac	7	314.071531057	1	1	0.88770198822	1	0.25	1	2.84235899086	
17	20	Female	1	prac	8	315.977509022	1	1	0.805713891983	1	0.25	1	2.62137418001	
17	20	Female	1	prac	9	317.789062977	0	0	0.722180128098	0	0.25	1	2.16860445731	
17	20	Female	1	prac	10	319.518489838	0	0	0.752764940262	0	0.25	1	2.26097485635	
17	20	Female	1	prac	11	321.283141851	0	0	0.660123109818	0	0.25	1	2.24326020051	
17	20	Female	1	prac	12	322.953670979	0	1	1.35759902	0	0.25	0	2.41589111136	
17	20	Female	1	prac	13	325.318378925	0	0	1.5209300518	0	0.25	1	2.17743749781	
17	20	Female	1	prac	14	327.847521067	0	0	1.9198319912	0	0.25	1	2.20472795982	
17	20	Female	1	prac	15	330.777025938	0	0	0.862295866013	0	0.25	1	2.46199040364	
17	20	Female	1	prac	16	332.647660017	1	1	0.639663934708	1	0.25	1	2.92336964013	
17	20	Female	1	prac	17	334.294714928	0	0	0.680629014969	0	0.25	1	2.21457691463	
17	20	Female	1	prac	18	335.988792896	0	0	0.762559890747	1	0.25	1	2.2123365944	
17	20	Female	1	prac	19	337.765151978	0	0	0.802228212357	0	0.25	1	2.27186245708	
17	20	Female	1	prac	20	339.576931	1	1	0.798430919647	0	0.25	1	2.9036515979	
17	20	Female	1	prac	1	1713.836658	1	1	1.54648995399	1	0.25	0	2.76037390157	
17	20	Female	1	prac	2	1716.40791988	0	0	3.57512807846	0	0.25	1	2.19922567096	
17	20	Female	1	prac	3	1721.00781488	0	0	0.692935943604	0	0.25	1	2.29206962529	
17	20	Female	1	prac	4	1722.72554493	1	0	0.728004932404	1	0.25	1	3.11761699913	
17	20	Female	1	prac	5	1724.47830391	1	0	0.610548973083	1	0.25	1	3.04753987704	
17	20	Female	1	prac	6	1726.11360884	1	0	0.598917961121	1	0.25	1	2.73617970126	
17	20	Female	1	prac	7	1727.73714995	1	0	0.539848804474	1	0.25	1	2.89750847965	
17	20	Female	1	prac	8	1729.30179906	0	0	1.03401398659	0	0.25	1	2.20034979189	
17	20	Female	1	prac	9	1731.36046505	0	0	0.481191158295	0	0.25	1	2.08451741317	
17	20	Female	1	prac	10	1732.86641502	1	0	0.610435962677	1	0.25	1	2.88070201781	
17	20	Female	1	prac	11	1734.50167584	0	0	0.61047410965	0	0.25	1	2.30892854285	
17	20	Female	1	prac	12	1736.1368649	1	0	1.58705592155	1	0.25	1	2.84150873278	
17	20	Female	1	prac	13	1738.74882507	1	0	0.516149044037	1	0.25	1	2.42705678002	
17	20	Female	1	prac	14	1740.28975201	1	0	0.492849111557	1	0.25	1	2.72352606757	
17	20	Female	1	prac	15	1741.80745602	0	0	0.645692110062	0	0.25	1	2.04626914609	
17	20	Female	1	prac	16	1743.47797084	1	0	0.530702114105	1	0.25	1	2.57986084311	
17	20	Female	1	prac	17	1745.04258394	1	0	0.551695108414	1	0.25	1	2.89956741412	
17	20	Female	1	prac	18	1746.61899686	0	0	0.469508886337	0	0.25	1	2.29269997705	
17	20	Female	1	prac	19	1748.11309505	0	0	0.551705121994	0	0.25	1	2.22103679749	
17	20	Female	1	prac	20	1749.6896069	0	0	0.386842012405	0	0.25	1	2.17031859083	
