ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
38	18	Female	3	prac	1	690.171192169	1	1	5.52519512177	1	0.25	0	2.81764513387	
38	18	Female	3	prac	2	696.724361181	1	0	0.915544033051	1	0.25	1	2.92898632159	
38	18	Female	3	prac	3	698.673374176	0	1	1.1423330307	0	0.25	0	2.03272742474	
38	18	Female	3	prac	4	700.837388992	1	0	2.23315095901	1	0.25	1	2.87427521536	
38	18	Female	3	prac	5	704.09800005	0	0	0.948453903198	0	0.25	1	2.36087544844	
38	18	Female	3	prac	6	706.071041107	0	0	1.09546685219	0	0.25	1	2.22965561268	
38	18	Female	3	prac	7	708.199872017	1	1	2.18621683121	1	0.25	0	2.76427105377	
38	18	Female	3	prac	8	711.410817146	1	0	1.90664601326	1	0.25	1	2.83131645804	
38	18	Female	3	prac	9	714.339437008	1	0	0.64522600174	1	0.25	1	2.66666592452	
38	18	Female	3	prac	10	716.012485027	0	1	0.845090866089	0	0.25	0	2.51924062852	
38	18	Female	3	prac	11	717.879481077	1	0	0.892297029495	0	0.25	0	3.12350415081	
38	18	Female	3	prac	12	719.796738148	0	0	1.14198207855	0	0.25	1	2.13208348613	
38	18	Female	3	prac	13	721.96054697	0	0	2.33894705772	0	0.25	1	2.22599891507	
38	18	Female	3	prac	14	725.324328184	0	0	0.636482954025	0	0.25	1	2.16974160923	
38	18	Female	3	prac	15	726.997148991	1	0	0.795420885086	1	0.25	1	3.0536644097	
38	18	Female	3	prac	16	728.817317963	1	0	0.906937122345	1	0.25	1	2.99573277542	
38	18	Female	3	prac	17	730.746112108	0	0	0.671811103821	0	0.25	1	1.95544490335	
38	18	Female	3	prac	18	732.439752102	1	0	0.704107999802	1	0.25	1	2.81712188506	
38	18	Female	3	prac	19	734.171523094	0	0	0.595376014709	0	0.25	1	2.20562896649	
38	18	Female	3	prac	20	735.791640997	0	0	0.800986051559	0	0.25	1	2.18411384822	
38	18	Female	3	prac	1	1712.88908815	1	0	2.34699511528	1	0.25	0	2.85608089218	
38	18	Female	3	prac	2	1716.24663401	1	1	1.45354914665	1	0.25	1	2.83566440221	
38	18	Female	3	prac	3	1718.71661305	0	0	1.03158307076	0	0.25	1	2.12639724633	
38	18	Female	3	prac	4	1720.76296306	1	1	0.59321808815	1	0.25	1	2.98690556361	
38	18	Female	3	prac	5	1722.36294818	1	1	0.577221870422	1	0.25	1	2.90118096176	
38	18	Female	3	prac	6	1723.95513201	0	0	0.689081907272	0	0.25	1	2.24031058221	
38	18	Female	3	prac	7	1725.65556717	1	0	0.636655092239	1	0.25	0	2.58214857908	
38	18	Female	3	prac	8	1727.30215406	1	0	0.710053920746	1	0.25	0	2.56279689374	
38	18	Female	3	prac	9	1729.01931	0	0	0.784900903702	0	0.25	1	2.09984908207	
38	18	Female	3	prac	10	1730.81896496	1	1	0.745309829712	1	0.25	1	2.7738656053	
38	18	Female	3	prac	11	1732.57116103	0	0	0.681174039841	0	0.25	1	2.25731206705	
38	18	Female	3	prac	12	1734.26498604	1	1	1.29931020737	1	0.25	1	2.93934087779	
38	18	Female	3	prac	13	1736.58175397	0	0	0.470491886139	0	0.25	1	2.08944912898	
38	18	Female	3	prac	14	1738.06364512	1	1	0.492678880692	1	0.25	1	2.85280839928	
38	18	Female	3	prac	15	1739.56923819	0	1	0.523042917252	0	0.25	0	2.41562001341	
38	18	Female	3	prac	16	1741.10973001	1	1	0.574519872665	1	0.25	1	2.55550556607	
38	18	Female	3	prac	17	1742.69770098	1	1	0.594572067261	1	0.25	1	2.86708834435	
38	18	Female	3	prac	18	1744.30870795	1	0	0.535580158234	1	0.25	0	2.61749036935	
38	18	Female	3	prac	19	1745.861202	1	0	0.543115854263	1	0.25	0	2.70257239543	
38	18	Female	3	prac	20	1747.41364598	0	0	0.39063501358	0	0.25	1	2.18633756244	
